Fecha,Area_Sanitaria,Personas_Infectadas 
2020-03-31,"A.S. PONTEVEDRA E O SALNÉS","16"
2020-03-31,"A.S. SANTIAGO E BARBANZA","38"
2020-03-31,"A.S. VIGO","80"
2020-03-31,"GALICIA","408"
2020-04-01,"A.S. A CORUÑA E CEE","66"
2020-04-01,"A.S. FERROL","16"
2020-04-01,"A.S. LUGO, A MARIÑA E MONFORTE","37"
2020-04-01,"A.S. OURENSE, VERÍN E O BARCO","77"
2020-04-01,"A.S. PONTEVEDRA E O SALNÉS","30"
2020-04-01,"A.S. SANTIAGO E BARBANZA","46"
2020-04-01,"A.S. VIGO","44"
2020-04-01,"GALICIA","316"
2020-04-02,"A.S. A CORUÑA E CEE","44"
2020-04-02,"A.S. FERROL","22"
2020-04-02,"A.S. LUGO, A MARIÑA E MONFORTE","28"
2020-04-02,"A.S. OURENSE, VERÍN E O BARCO","186"
2020-04-02,"A.S. PONTEVEDRA E O SALNÉS","33"
2020-04-02,"A.S. SANTIAGO E BARBANZA","42"
2020-04-02,"A.S. VIGO","45"
2020-04-02,"GALICIA","400"
2020-04-03,"A.S. A CORUÑA E CEE","59"
2020-04-03,"A.S. FERROL","29"
2020-04-03,"A.S. LUGO, A MARIÑA E MONFORTE","23"
2020-04-03,"A.S. OURENSE, VERÍN E O BARCO","83"
2020-04-03,"A.S. PONTEVEDRA E O SALNÉS","25"
2020-04-03,"A.S. SANTIAGO E BARBANZA","61"
2020-04-03,"A.S. VIGO","32"
2020-04-03,"GALICIA","312"
2020-04-04,"A.S. A CORUÑA E CEE","41"
2020-04-04,"A.S. FERROL","14"
2020-04-04,"A.S. LUGO, A MARIÑA E MONFORTE","5"
2020-04-04,"A.S. OURENSE, VERÍN E O BARCO","66"
2020-04-04,"A.S. PONTEVEDRA E O SALNÉS","22"
2020-04-04,"A.S. SANTIAGO E BARBANZA","80"
2020-04-04,"A.S. VIGO","25"
2020-04-04,"GALICIA","253"
2020-04-05,"A.S. A CORUÑA E CEE","53"
2020-04-05,"A.S. FERROL","3"
2020-04-05,"A.S. LUGO, A MARIÑA E MONFORTE","14"
2020-04-05,"A.S. OURENSE, VERÍN E O BARCO","42"
2020-04-05,"A.S. PONTEVEDRA E O SALNÉS","14"
2020-04-05,"A.S. SANTIAGO E BARBANZA","40"
2020-04-05,"A.S. VIGO","30"
2020-04-05,"GALICIA","196"
2020-04-06,"A.S. A CORUÑA E CEE","77"
2020-04-06,"A.S. FERROL","12"
2020-04-06,"A.S. LUGO, A MARIÑA E MONFORTE","16"
