Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-06-01 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","12.905","11","268","12.416","11","1","246.208","131.641","216","38.955"
2021-06-01 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.723","8","164","15.142","7","3","256.106","127.634","418","69.224"
2021-06-01 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.276","4","248","13.849","13","2","236.926","90.311","180","76.831"
2021-06-01 18:00:00,"A.S. SANTIAGO E BARBANZA","19.993","14","400","19.243","23","4","361.821","142.194","362","92.030"
2021-06-01 18:00:00,"A.S. VIGO","25.074","16","662","23.985","15","6","510.182","263.367","435","65.956"
2021-06-01 18:00:00,"GALICIA","126.997","78","2.206","122.396","90","21","2.260.108","962.430","2.420","537.042"
2021-06-02 18:00:00,"A.S. A CORUÑA E CEE","30.431","18","357","29.496","18","2","505.421","147.675","592","179.505"
2021-06-02 18:00:00,"A.S. FERROL","8.631","21","114","8.294","5","2","145.041","59.880","217","14.960"
2021-06-02 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","12.920","14","269","12.430","10","2","246.945","132.611","216","39.214"
2021-06-02 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.735","12","164","15.154","6","3","256.504","130.027","418","69.484"
2021-06-02 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.293","18","247","13.866","14","2","237.656","90.590","181","77.264"
2021-06-02 18:00:00,"A.S. SANTIAGO E BARBANZA","20.005","12","370","19.285","21","4","362.484","142.370","362","92.391"
2021-06-02 18:00:00,"A.S. VIGO","25.088","14","635","24.025","13","5","511.236","264.786","436","66.164"
2021-06-02 18:00:00,"GALICIA","127.103","109","2.156","122.550","87","20","2.265.287","967.939","2.422","538.982"
