"fecha","codigo_municipio","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max","casos_7d","casos_7d_min","casos_7d_max","IA7","IA7_min","IA7_max"
"2022-07-21","15002","Ames",31793,134,NA,NA,421.476425628283,NA,NA,44,NA,NA,138.395244236153,NA,NA
"2022-07-21","27006","Becerreá",2818,13,NA,NA,461.320085166785,NA,NA,NA,1,9,NA,35.486160397445,319.375443577005
"2022-07-21","15038","Frades",2339,12,NA,NA,513.039760581445,NA,NA,NA,1,9,NA,42.7533133817871,384.779820436084
"2022-07-21","27052","Ribas de Sil",947,NA,1,9,NA,105.596620908131,950.369588173178,0,NA,NA,0,NA,NA
"2022-07-21","36030","Mondariz",4440,NA,1,9,NA,22.5225225225225,202.702702702703,NA,1,9,NA,22.5225225225225,202.702702702703
"2022-07-21","36044","Pontecesures",3052,12,NA,NA,393.184796854522,NA,NA,NA,1,9,NA,32.7653997378768,294.888597640891
"2022-07-21","36015","Cuntis",4677,11,NA,NA,235.193500106906,NA,NA,NA,1,9,NA,21.381227282446,192.431045542014
"2022-07-21","27051","Ribadeo",9854,44,NA,NA,446.519180028415,NA,NA,16,NA,NA,162.370610919424,NA,NA
"2022-07-21","32091","Vilardevós",1846,11,NA,NA,595.882990249187,NA,NA,NA,1,9,NA,54.1711809317443,487.540628385699
"2022-07-21","36009","A Cañiza",5180,25,NA,NA,482.625482625483,NA,NA,NA,1,9,NA,19.3050193050193,173.745173745174
"2022-07-21","15042","Lousame",3338,NA,1,9,NA,29.9580587177951,269.622528460156,NA,1,9,NA,29.9580587177951,269.622528460156
"2022-07-21","32026","Coles",3050,21,NA,NA,688.524590163934,NA,NA,NA,1,9,NA,32.7868852459016,295.081967213115
"2022-07-21","36902","Cerdedo-Cotobade",5699,30,NA,NA,526.408141779259,NA,NA,NA,1,9,NA,17.5469380593087,157.922442533778
"2022-07-21","36027","Meaño",5272,21,NA,NA,398.330804248862,NA,NA,NA,1,9,NA,18.9681335356601,170.713201820941
"2022-07-21","32012","Os Blancos",766,NA,1,9,NA,130.548302872063,1174.93472584856,NA,1,9,NA,130.548302872063,1174.93472584856
"2022-07-21","32035","O Irixo",1466,NA,1,9,NA,68.212824010914,613.915416098227,NA,1,9,NA,68.212824010914,613.915416098227
"2022-07-21","15021","Carral",6408,NA,1,9,NA,15.605493133583,140.449438202247,NA,1,9,NA,15.605493133583,140.449438202247
"2022-07-21","15082","Teo",18579,76,NA,NA,409.063996985844,NA,NA,24,NA,NA,129.178104311319,NA,NA
"2022-07-21","32084","Verea",943,NA,1,9,NA,106.044538706257,954.40084835631,NA,1,9,NA,106.044538706257,954.40084835631
"2022-07-21","27019","Foz",9980,51,NA,NA,511.022044088176,NA,NA,24,NA,NA,240.480961923848,NA,NA
"2022-07-21","32069","Ribadavia",5024,25,NA,NA,497.611464968153,NA,NA,NA,1,9,NA,19.9044585987261,179.140127388535
"2022-07-21","15049","Moeche",1226,NA,1,9,NA,81.5660685154976,734.094616639478,0,NA,NA,0,NA,NA
"2022-07-21","32061","Piñor",1176,NA,1,9,NA,85.0340136054422,765.30612244898,NA,1,9,NA,85.0340136054422,765.30612244898
"2022-07-21","32021","Castrelo do Val",984,NA,1,9,NA,101.626016260163,914.634146341463,NA,1,9,NA,101.626016260163,914.634146341463
"2022-07-21","27007","Begonte",3026,20,NA,NA,660.938532716457,NA,NA,NA,1,9,NA,33.0469266358229,297.422339722406
