"fecha","codigo_municipio","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max","casos_7d","casos_7d_min","casos_7d_max","IA7","IA7_min","IA7_max"
"2022-03-12","15002","Ames",31793,299,NA,NA,940.458591513855,NA,NA,143,NA,NA,449.784543767496,NA,NA
"2022-03-12","27006","Becerreá",2818,NA,1,9,NA,35.486160397445,319.375443577005,NA,1,9,NA,35.486160397445,319.375443577005
"2022-03-12","15038","Frades",2339,14,NA,NA,598.546387345019,NA,NA,NA,1,9,NA,42.7533133817871,384.779820436084
"2022-03-12","27052","Ribas de Sil",947,NA,1,9,NA,105.596620908131,950.369588173178,NA,1,9,NA,105.596620908131,950.369588173178
"2022-03-12","36030","Mondariz",4440,32,NA,NA,720.720720720721,NA,NA,19,NA,NA,427.927927927928,NA,NA
"2022-03-12","36044","Pontecesures",3052,19,NA,NA,622.542595019659,NA,NA,NA,1,9,NA,32.7653997378768,294.888597640891
"2022-03-12","36015","Cuntis",4677,23,NA,NA,491.768227496258,NA,NA,12,NA,NA,256.574727389352,NA,NA
"2022-03-12","27051","Ribadeo",9854,35,NA,NA,355.185711386239,NA,NA,23,NA,NA,233.407753196671,NA,NA
"2022-03-12","32091","Vilardevós",1846,22,NA,NA,1191.76598049837,NA,NA,15,NA,NA,812.567713976165,NA,NA
"2022-03-12","36009","A Cañiza",5180,32,NA,NA,617.760617760618,NA,NA,13,NA,NA,250.965250965251,NA,NA
"2022-03-12","15042","Lousame",3338,20,NA,NA,599.161174355902,NA,NA,12,NA,NA,359.496704613541,NA,NA
"2022-03-12","32026","Coles",3050,20,NA,NA,655.737704918033,NA,NA,18,NA,NA,590.16393442623,NA,NA
"2022-03-12","36902","Cerdedo-Cotobade",5699,30,NA,NA,526.408141779259,NA,NA,19,NA,NA,333.391823126864,NA,NA
"2022-03-12","36027","Meaño",5272,25,NA,NA,474.203338391502,NA,NA,16,NA,NA,303.490136570561,NA,NA
"2022-03-12","32012","Os Blancos",766,NA,1,9,NA,130.548302872063,1174.93472584856,NA,1,9,NA,130.548302872063,1174.93472584856
"2022-03-12","32035","O Irixo",1466,NA,1,9,NA,68.212824010914,613.915416098227,NA,1,9,NA,68.212824010914,613.915416098227
"2022-03-12","15021","Carral",6408,39,NA,NA,608.614232209738,NA,NA,30,NA,NA,468.164794007491,NA,NA
"2022-03-12","15082","Teo",18579,221,NA,NA,1189.51504386673,NA,NA,116,NA,NA,624.36083750471,NA,NA
"2022-03-12","32084","Verea",943,NA,1,9,NA,106.044538706257,954.40084835631,NA,1,9,NA,106.044538706257,954.40084835631
"2022-03-12","27019","Foz",9980,74,NA,NA,741.482965931864,NA,NA,42,NA,NA,420.841683366733,NA,NA
"2022-03-12","32069","Ribadavia",5024,72,NA,NA,1433.12101910828,NA,NA,20,NA,NA,398.089171974522,NA,NA
"2022-03-12","15049","Moeche",1226,NA,1,9,NA,81.5660685154976,734.094616639478,NA,1,9,NA,81.5660685154976,734.094616639478
"2022-03-12","32061","Piñor",1176,NA,1,9,NA,85.0340136054422,765.30612244898,NA,1,9,NA,85.0340136054422,765.30612244898
"2022-03-12","32021","Castrelo do Val",984,15,NA,NA,1524.39024390244,NA,NA,NA,1,9,NA,101.626016260163,914.634146341463
"2022-03-12","27007","Begonte",3026,15,NA,NA,495.703899537343,NA,NA,10,NA,NA,330.469266358229,NA,NA
"2022-03-12","36008","Cangas",26542,275,NA,NA,1036.09373822621,NA,NA,161,NA,NA,606.585788561525,NA,NA
"2022-03-12","15091","Vilarmaior",1226,NA,1,9,NA,81.5660685154976,734.094616639478,NA,1,9,NA,81.5660685154976,734.094616639478
"2022-03-12","36034","As Neves",3841,NA,1,9,NA,26.0348867482426,234.313980734184,NA,1,9,NA,26.0348867482426,234.313980734184
"2022-03-12","27020","Friol",3744,NA,1,9,NA,26.7094017094017,240.384615384615,NA,1,9,NA,26.7094017094017,240.384615384615
"2022-03-12","32072","A Rúa",4314,74,NA,NA,1715.34538711173,NA,NA,60,NA,NA,1390.82058414465,NA,NA
"2022-03-12","32082","Trasmiras",1286,11,NA,NA,855.365474339036,NA,NA,NA,1,9,NA,77.7604976671851,699.844479004666
"2022-03-12","15081","As Somozas",1098,NA,1,9,NA,91.0746812386157,819.672131147541,NA,1,9,NA,91.0746812386157,819.672131147541
"2022-03-12","15083","Toques",1124,NA,1,9,NA,88.9679715302491,800.711743772242,0,NA,NA,0,NA,NA
"2022-03-12","36055","Tui",16701,132,NA,NA,790.371834021915,NA,NA,66,NA,NA,395.185917010957,NA,NA
"2022-03-12","27034","Navia de Suarna",1081,NA,1,9,NA,92.5069380203515,832.562442183164,NA,1,9,NA,92.5069380203515,832.562442183164
"2022-03-12","15068","Ponteceso",5502,32,NA,NA,581.606688476917,NA,NA,12,NA,NA,218.102508178844,NA,NA
"2022-03-12","32013","Boborás",2285,NA,1,9,NA,43.7636761487965,393.873085339168,NA,1,9,NA,43.7636761487965,393.873085339168
"2022-03-12","27041","Pantón",2542,10,NA,NA,393.3910306845,NA,NA,NA,1,9,NA,39.33910306845,354.05192761605
"2022-03-12","27029","Meira",1725,18,NA,NA,1043.47826086957,NA,NA,11,NA,NA,637.68115942029,NA,NA
"2022-03-12","27038","Ourol",1018,12,NA,NA,1178.78192534381,NA,NA,NA,1,9,NA,98.2318271119843,884.086444007859
"2022-03-12","27062","Triacastela",641,NA,1,9,NA,156.00624024961,1404.05616224649,0,NA,NA,0,NA,NA
"2022-03-12","32068","Ramirás",1584,NA,1,9,NA,63.1313131313131,568.181818181818,NA,1,9,NA,63.1313131313131,568.181818181818
"2022-03-12","15086","Trazo",3113,13,NA,NA,417.603597815612,NA,NA,NA,1,9,NA,32.123353678124,289.110183103116
"2022-03-12","27060","Taboada",2756,13,NA,NA,471.698113207547,NA,NA,NA,1,9,NA,36.2844702467344,326.56023222061
