"fecha","codigo_municipio","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max"
"2020-12-12","15002","Ames",31793,25,NA,NA,78.633661497814,NA,NA
"2020-12-12","27006","Becerreá",2818,0,NA,NA,0,NA,NA
"2020-12-12","15038","Frades",2339,NA,1,9,NA,42.7533133817871,384.779820436084
"2020-12-12","27052","Ribas de Sil",947,0,NA,NA,0,NA,NA
"2020-12-12","36030","Mondariz",4440,NA,1,9,NA,22.5225225225225,202.702702702703
"2020-12-12","36044","Pontecesures",3052,NA,1,9,NA,32.7653997378768,294.888597640891
"2020-12-12","36015","Cuntis",4677,NA,1,9,NA,21.381227282446,192.431045542014
"2020-12-12","27051","Ribadeo",9854,NA,1,9,NA,10.148163182464,91.3334686421758
"2020-12-12","32091","Vilardevós",1846,NA,1,9,NA,54.1711809317443,487.540628385699
"2020-12-12","36009","A Cañiza",5180,10,NA,NA,193.050193050193,NA,NA
"2020-12-12","15042","Lousame",3338,NA,1,9,NA,29.9580587177951,269.622528460156
"2020-12-12","32026","Coles",3050,NA,1,9,NA,32.7868852459016,295.081967213115
"2020-12-12","36902","Cerdedo-Cotobade",5699,NA,1,9,NA,17.5469380593087,157.922442533778
"2020-12-12","36027","Meaño",5272,10,NA,NA,189.681335356601,NA,NA
"2020-12-12","32012","Os Blancos",766,NA,1,9,NA,130.548302872063,1174.93472584856
"2020-12-12","32035","O Irixo",1466,0,NA,NA,0,NA,NA
"2020-12-12","15021","Carral",6408,NA,1,9,NA,15.605493133583,140.449438202247
"2020-12-12","15082","Teo",18579,NA,1,9,NA,5.38242101297163,48.4417891167447
"2020-12-12","32084","Verea",943,0,NA,NA,0,NA,NA
"2020-12-12","27019","Foz",9980,NA,1,9,NA,10.0200400801603,90.1803607214429
"2020-12-12","32069","Ribadavia",5024,NA,1,9,NA,19.9044585987261,179.140127388535
"2020-12-12","15049","Moeche",1226,NA,1,9,NA,81.5660685154976,734.094616639478
"2020-12-12","32061","Piñor",1176,0,NA,NA,0,NA,NA
"2020-12-12","32021","Castrelo do Val",984,0,NA,NA,0,NA,NA
"2020-12-12","27007","Begonte",3026,0,NA,NA,0,NA,NA
"2020-12-12","36008","Cangas",26542,58,NA,NA,218.521588425891,NA,NA
