"fecha","codigo_municipio","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max","casos_7d","casos_7d_min","casos_7d_max","IA7","IA7_min","IA7_max"
"2021-07-04","15002","Ames",31793,29,NA,NA,91.2150473374642,NA,NA,12,NA,NA,37.7441575189507,NA,NA
"2021-07-04","27006","Becerreá",2818,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-07-04","15038","Frades",2339,NA,1,9,NA,42.7533133817871,384.779820436084,0,NA,NA,0,NA,NA
"2021-07-04","27052","Ribas de Sil",947,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-07-04","36030","Mondariz",4440,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-07-04","36044","Pontecesures",3052,NA,1,9,NA,32.7653997378768,294.888597640891,0,NA,NA,0,NA,NA
"2021-07-04","36015","Cuntis",4677,NA,1,9,NA,21.381227282446,192.431045542014,NA,1,9,NA,21.381227282446,192.431045542014
"2021-07-04","27051","Ribadeo",9854,NA,1,9,NA,10.148163182464,91.3334686421758,NA,1,9,NA,10.148163182464,91.3334686421758
"2021-07-04","32091","Vilardevós",1846,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-07-04","36009","A Cañiza",5180,NA,1,9,NA,19.3050193050193,173.745173745174,NA,1,9,NA,19.3050193050193,173.745173745174
"2021-07-04","15042","Lousame",3338,NA,1,9,NA,29.9580587177951,269.622528460156,0,NA,NA,0,NA,NA
"2021-07-04","32026","Coles",3050,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-07-04","36902","Cerdedo-Cotobade",5699,NA,1,9,NA,17.5469380593087,157.922442533778,NA,1,9,NA,17.5469380593087,157.922442533778
"2021-07-04","36027","Meaño",5272,NA,1,9,NA,18.9681335356601,170.713201820941,NA,1,9,NA,18.9681335356601,170.713201820941
"2021-07-04","32012","Os Blancos",766,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-07-04","32035","O Irixo",1466,NA,1,9,NA,68.212824010914,613.915416098227,NA,1,9,NA,68.212824010914,613.915416098227
"2021-07-04","15021","Carral",6408,NA,1,9,NA,15.605493133583,140.449438202247,NA,1,9,NA,15.605493133583,140.449438202247
"2021-07-04","15082","Teo",18579,NA,1,9,NA,5.38242101297163,48.4417891167447,NA,1,9,NA,5.38242101297163,48.4417891167447
"2021-07-04","32084","Verea",943,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-07-04","27019","Foz",9980,NA,1,9,NA,10.0200400801603,90.1803607214429,NA,1,9,NA,10.0200400801603,90.1803607214429
"2021-07-04","32069","Ribadavia",5024,17,NA,NA,338.375796178344,NA,NA,15,NA,NA,298.566878980892,NA,NA
"2021-07-04","15049","Moeche",1226,NA,1,9,NA,81.5660685154976,734.094616639478,NA,1,9,NA,81.5660685154976,734.094616639478
"2021-07-04","32061","Piñor",1176,NA,1,9,NA,85.0340136054422,765.30612244898,NA,1,9,NA,85.0340136054422,765.30612244898
"2021-07-04","32021","Castrelo do Val",984,NA,1,9,NA,101.626016260163,914.634146341463,NA,1,9,NA,101.626016260163,914.634146341463
"2021-07-04","27007","Begonte",3026,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-07-04","36008","Cangas",26542,NA,1,9,NA,3.76761359354985,33.9085223419486,NA,1,9,NA,3.76761359354985,33.9085223419486
"2021-07-04","15091","Vilarmaior",1226,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-07-04","36034","As Neves",3841,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-07-04","27020","Friol",3744,NA,1,9,NA,26.7094017094017,240.384615384615,0,NA,NA,0,NA,NA
"2021-07-04","32072","A Rúa",4314,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-07-04","32082","Trasmiras",1286,NA,1,9,NA,77.7604976671851,699.844479004666,NA,1,9,NA,77.7604976671851,699.844479004666
"2021-07-04","15081","As Somozas",1098,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-07-04","15083","Toques",1124,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-07-04","36055","Tui",16701,NA,1,9,NA,5.98766540925693,53.8889886833124,NA,1,9,NA,5.98766540925693,53.8889886833124
"2021-07-04","27034","Navia de Suarna",1081,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-07-04","15068","Ponteceso",5502,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
