"fecha","codigo_municipio","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max"
"2021-01-21","15002","Ames",31793,155,NA,NA,487.528701286447,NA,NA
"2021-01-21","27006","Becerreá",2818,NA,1,9,NA,35.486160397445,319.375443577005
"2021-01-21","15038","Frades",2339,14,NA,NA,598.546387345019,NA,NA
"2021-01-21","27052","Ribas de Sil",947,NA,1,9,NA,105.596620908131,950.369588173178
"2021-01-21","36030","Mondariz",4440,58,NA,NA,1306.30630630631,NA,NA
"2021-01-21","36044","Pontecesures",3052,84,NA,NA,2752.29357798165,NA,NA
"2021-01-21","36015","Cuntis",4677,33,NA,NA,705.580500320718,NA,NA
"2021-01-21","27051","Ribadeo",9854,22,NA,NA,223.259590014207,NA,NA
"2021-01-21","32091","Vilardevós",1846,17,NA,NA,920.910075839653,NA,NA
"2021-01-21","36009","A Cañiza",5180,95,NA,NA,1833.97683397683,NA,NA
"2021-01-21","15042","Lousame",3338,25,NA,NA,748.951467944877,NA,NA
"2021-01-21","32026","Coles",3050,36,NA,NA,1180.32786885246,NA,NA
"2021-01-21","36902","Cerdedo-Cotobade",5699,11,NA,NA,193.016318652395,NA,NA
"2021-01-21","36027","Meaño",5272,14,NA,NA,265.553869499241,NA,NA
"2021-01-21","32012","Os Blancos",766,NA,1,9,NA,130.548302872063,1174.93472584856
"2021-01-21","32035","O Irixo",1466,NA,1,9,NA,68.212824010914,613.915416098227
"2021-01-21","15021","Carral",6408,40,NA,NA,624.219725343321,NA,NA
"2021-01-21","15082","Teo",18579,59,NA,NA,317.562839765326,NA,NA
"2021-01-21","32084","Verea",943,NA,1,9,NA,106.044538706257,954.40084835631
"2021-01-21","27019","Foz",9980,13,NA,NA,130.260521042084,NA,NA
"2021-01-21","32069","Ribadavia",5024,57,NA,NA,1134.55414012739,NA,NA
"2021-01-21","15049","Moeche",1226,36,NA,NA,2936.37846655791,NA,NA
"2021-01-21","32061","Piñor",1176,0,NA,NA,0,NA,NA
"2021-01-21","32021","Castrelo do Val",984,NA,1,9,NA,101.626016260163,914.634146341463
"2021-01-21","27007","Begonte",3026,NA,1,9,NA,33.0469266358229,297.422339722406
"2021-01-21","36008","Cangas",26542,64,NA,NA,241.12726998719,NA,NA
"2021-01-21","15091","Vilarmaior",1226,NA,1,9,NA,81.5660685154976,734.094616639478
"2021-01-21","36034","As Neves",3841,36,NA,NA,937.255922936735,NA,NA
"2021-01-21","27020","Friol",3744,NA,1,9,NA,26.7094017094017,240.384615384615
"2021-01-21","32072","A Rúa",4314,NA,1,9,NA,23.1803430690774,208.623087621697
"2021-01-21","32082","Trasmiras",1286,35,NA,NA,2721.61741835148,NA,NA
"2021-01-21","15081","As Somozas",1098,12,NA,NA,1092.89617486339,NA,NA
"2021-01-21","15083","Toques",1124,NA,1,9,NA,88.9679715302491,800.711743772242
"2021-01-21","36055","Tui",16701,170,NA,NA,1017.90311957368,NA,NA
"2021-01-21","27034","Navia de Suarna",1081,0,NA,NA,0,NA,NA
"2021-01-21","15068","Ponteceso",5502,11,NA,NA,199.92729916394,NA,NA
"2021-01-21","32013","Boborás",2285,NA,1,9,NA,43.7636761487965,393.873085339168
"2021-01-21","27041","Pantón",2542,NA,1,9,NA,39.33910306845,354.05192761605
"2021-01-21","27029","Meira",1725,NA,1,9,NA,57.9710144927536,521.739130434783
"2021-01-21","27038","Ourol",1018,NA,1,9,NA,98.2318271119843,884.086444007859
"2021-01-21","27062","Triacastela",641,0,NA,NA,0,NA,NA
"2021-01-21","32068","Ramirás",1584,12,NA,NA,757.575757575758,NA,NA
"2021-01-21","15086","Trazo",3113,30,NA,NA,963.70061034372,NA,NA
"2021-01-21","27060","Taboada",2756,NA,1,9,NA,36.2844702467344,326.56023222061
"2021-01-21","36047","Rodeiro",2437,NA,1,9,NA,41.0340582683627,369.306524415265
"2021-01-21","36024","Lalín",20218,43,NA,NA,212.681768720942,NA,NA
"2021-01-21","15048","Miño",6200,12,NA,NA,193.548387096774,NA,NA
"2021-01-21","36032","Moraña",4179,32,NA,NA,765.733429050012,NA,NA
"2021-01-21","15051","Mugardos",5245,44,NA,NA,838.894184938036,NA,NA
"2021-01-21","32070","San Xoán de Río",531,NA,1,9,NA,188.323917137476,1694.91525423729
"2021-01-21","32087","Vilamarín",1854,19,NA,NA,1024.81121898598,NA,NA
"2021-01-21","27001","Abadín",2367,NA,1,9,NA,42.247570764681,380.228136882129
"2021-01-21","36046","Ribadumia",5052,13,NA,NA,257.323832145685,NA,NA
"2021-01-21","32059","A Peroxa",1819,18,NA,NA,989.554700384827,NA,NA
"2021-01-21","32027","Cortegada",1085,NA,1,9,NA,92.1658986175115,829.493087557604
"2021-01-21","32039","Laza",1228,NA,1,9,NA,81.4332247557003,732.899022801303
"2021-01-21","32048","A Mezquita",1023,NA,1,9,NA,97.7517106549365,879.765395894428
"2021-01-21","36021","Gondomar",14286,63,NA,NA,440.991180176396,NA,NA
"2021-01-21","15043","Malpica de Bergantiños",5391,26,NA,NA,482.285290298646,NA,NA
"2021-01-21","36038","Pontevedra",83029,261,NA,NA,314.347998891953,NA,NA
"2021-01-21","36056","Valga",5869,121,NA,NA,2061.68001363094,NA,NA
"2021-01-21","32019","O Carballiño",14027,58,NA,NA,413.488272617096,NA,NA
"2021-01-21","15062","Outes",6282,33,NA,NA,525.31041069723,NA,NA
"2021-01-21","36048","O Rosal",6234,45,NA,NA,721.847930702599,NA,NA
"2021-01-21","36036","Oia",3053,53,NA,NA,1735.9973796266,NA,NA
"2021-01-21","15025","Cerdido",1113,13,NA,NA,1168.01437556155,NA,NA
"2021-01-21","27057","Sarria",13330,55,NA,NA,412.603150787697,NA,NA
"2021-01-21","36052","Silleda",8687,83,NA,NA,955.450673420053,NA,NA
"2021-01-21","27043","O Páramo",1366,0,NA,NA,0,NA,NA
"2021-01-21","15061","Ortigueira",5671,89,NA,NA,1569.3881149709,NA,NA
"2021-01-21","15080","Sobrado",1758,17,NA,NA,967.007963594994,NA,NA
"2021-01-21","32085","Verín",13723,169,NA,NA,1231.50914523063,NA,NA
"2021-01-21","27015","Cospeito",4484,NA,1,9,NA,22.3015165031222,200.7136485281
"2021-01-21","15013","Brión",7837,41,NA,NA,523.159372208753,NA,NA
"2021-01-21","36013","Covelo",2396,21,NA,NA,876.460767946578,NA,NA
"2021-01-21","32075","San Cibrao das Viñas",5405,17,NA,NA,314.523589269195,NA,NA
"2021-01-21","15016","Camariñas",5272,87,NA,NA,1650.22761760243,NA,NA
"2021-01-21","15084","Tordoia",3299,19,NA,NA,575.932100636557,NA,NA
"2021-01-21","15017","Cambre",24648,192,NA,NA,778.967867575462,NA,NA
"2021-01-21","32025","Cenlle",1120,NA,1,9,NA,89.2857142857143,803.571428571428
"2021-01-21","32007","Baños de Molgas",1519,NA,1,9,NA,65.8327847267939,592.495062541146
"2021-01-21","36007","Campo Lameiro",1817,NA,1,9,NA,55.0357732526142,495.321959273528
"2021-01-21","32009","O Barco de Valdeorras",13395,13,NA,NA,97.0511384845091,NA,NA
"2021-01-21","36019","Fornelos de Montes",1616,0,NA,NA,0,NA,NA
"2021-01-21","36020","Agolada",2344,18,NA,NA,767.918088737201,NA,NA
"2021-01-21","36033","Mos",15078,50,NA,NA,331.60896670646,NA,NA
"2021-01-21","32005","Baltar",962,NA,1,9,NA,103.950103950104,935.550935550936
"2021-01-21","27054","Riotorto",1262,NA,1,9,NA,79.2393026941363,713.153724247227
"2021-01-21","32053","Oímbra",1712,37,NA,NA,2161.21495327103,NA,NA
"2021-01-21","15039","Irixoa",1334,NA,1,9,NA,74.9625187406297,674.662668665667
"2021-01-21","15028","Corcubión",1589,NA,1,9,NA,62.9326620516048,566.393958464443
"2021-01-21","27902","Burela",9588,45,NA,NA,469.336670838548,NA,NA
"2021-01-21","36040","Portas",2940,NA,1,9,NA,34.0136054421769,306.122448979592
"2021-01-21","15011","Boiro",18838,63,NA,NA,334.430406624907,NA,NA
"2021-01-21","27053","Ribeira de Piquín",528,0,NA,NA,0,NA,NA
"2021-01-21","15009","Betanzos",12959,98,NA,NA,756.231190678293,NA,NA
"2021-01-21","27009","Carballedo",2193,0,NA,NA,0,NA,NA
"2021-01-21","27035","Negueira de Muñiz",215,0,NA,NA,0,NA,NA
"2021-01-21","15008","Bergondo",6633,25,NA,NA,376.903361977989,NA,NA
"2021-01-21","32018","Carballeda de Avia",1286,NA,1,9,NA,77.7604976671851,699.844479004666
"2021-01-21","27016","Chantada",8192,25,NA,NA,305.17578125,NA,NA
"2021-01-21","32010","Beade",397,NA,1,9,NA,251.889168765743,2267.00251889169
"2021-01-21","36037","Pazos de Borbén",2999,31,NA,NA,1033.67789263088,NA,NA
"2021-01-21","15019","Carballo",31349,241,NA,NA,768.764553893266,NA,NA
"2021-01-21","27046","Pol",1609,NA,1,9,NA,62.1504039776258,559.353635798633
"2021-01-21","15059","Ordes",12674,62,NA,NA,489.19046867603,NA,NA
"2021-01-21","36002","Barro",3680,15,NA,NA,407.608695652174,NA,NA
"2021-01-21","15087","Valdoviño",6563,30,NA,NA,457.108029864391,NA,NA
"2021-01-21","36029","Moaña",19399,105,NA,NA,541.265013660498,NA,NA
"2021-01-21","32032","Xinzo de Limia",9715,214,NA,NA,2202.77920741122,NA,NA
"2021-01-21","15065","Padrón",8384,93,NA,NA,1109.25572519084,NA,NA
"2021-01-21","15074","Rois",4512,64,NA,NA,1418.43971631206,NA,NA
"2021-01-21","27013","Cervo",4227,23,NA,NA,544.121126094157,NA,NA
"2021-01-21","15067","A Pobra do Caramiñal",9338,32,NA,NA,342.685799957164,NA,NA
"2021-01-21","32073","Rubiá",1393,NA,1,9,NA,71.7875089734386,646.087580760948
"2021-01-21","32056","Padrenda",1748,19,NA,NA,1086.95652173913,NA,NA
"2021-01-21","27031","Monforte de Lemos",18433,86,NA,NA,466.554548906852,NA,NA
"2021-01-21","15072","Rianxo",11033,42,NA,NA,380.676153358107,NA,NA
"2021-01-21","15004","Ares",5732,23,NA,NA,401.256106071179,NA,NA
"2021-01-21","15041","A Laracha",11347,104,NA,NA,916.541817220411,NA,NA
"2021-01-21","15077","Santa Comba",9426,29,NA,NA,307.659664757055,NA,NA
"2021-01-21","27027","Lourenzá",2140,NA,1,9,NA,46.7289719626168,420.560747663551
"2021-01-21","32076","San Cristovo de Cea",2137,NA,1,9,NA,46.7945718296678,421.15114646701
"2021-01-21","32045","Maside",2705,11,NA,NA,406.654343807763,NA,NA
"2021-01-21","32088","Vilamartín de Valdeorras",1790,NA,1,9,NA,55.8659217877095,502.793296089385
"2021-01-21","32020","Cartelle",2642,11,NA,NA,416.351249053747,NA,NA
"2021-01-21","32051","Muíños",1502,29,NA,NA,1930.75898801598,NA,NA
"2021-01-21","36018","Forcarei",3388,45,NA,NA,1328.21723730815,NA,NA
"2021-01-21","15089","Vedra",5036,10,NA,NA,198.570293884035,NA,NA
"2021-01-21","36005","Caldas de Reis",9785,66,NA,NA,674.501788451712,NA,NA
"2021-01-21","36043","Ponte Caldelas",5494,14,NA,NA,254.823443756826,NA,NA
"2021-01-21","32057","Parada de Sil",538,0,NA,NA,0,NA,NA
"2021-01-21","32089","Vilar de Barrio",1307,NA,1,9,NA,76.5110941086458,688.599846977812
"2021-01-21","36035","Nigrán",17675,49,NA,NA,277.227722772277,NA,NA
"2021-01-21","32074","San Amaro",1089,0,NA,NA,0,NA,NA
"2021-01-21","15040","Laxe",3016,38,NA,NA,1259.94694960212,NA,NA
"2021-01-21","15001","Abegondo",5406,24,NA,NA,443.951165371809,NA,NA
"2021-01-21","27024","O Incio",1570,NA,1,9,NA,63.6942675159236,573.248407643312
"2021-01-21","27066","Viveiro",15466,267,NA,NA,1726.3675158412,NA,NA
"2021-01-21","32033","Gomesende",732,0,NA,NA,0,NA,NA
"2021-01-21","32047","A Merca",1913,NA,1,9,NA,52.2739153162572,470.465237846315
"2021-01-21","36016","Dozón",1082,NA,1,9,NA,92.4214417744917,831.792975970425
"2021-01-21","15012","Boqueixón",4220,35,NA,NA,829.383886255924,NA,NA
"2021-01-21","36004","Bueu",12009,27,NA,NA,224.831376467649,NA,NA
"2021-01-21","32004","Avión",1795,0,NA,NA,0,NA,NA
"2021-01-21","32015","O Bolo",884,0,NA,NA,0,NA,NA
"2021-01-21","36039","O Porriño",19848,87,NA,NA,438.331318016929,NA,NA
"2021-01-21","27010","Castro de Rei",5052,NA,1,9,NA,19.7941409342835,178.147268408551
