"fecha","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max"
"2020-11-24","Ames",31793,28,NA,NA,88.0697008775517,NA,NA
"2020-11-24","Becerreá",2818,NA,1,9,NA,35.486160397445,319.375443577005
"2020-11-24","Frades",2339,NA,1,9,NA,42.7533133817871,384.779820436084
"2020-11-24","Ribas de Sil",947,NA,1,9,NA,105.596620908131,950.369588173178
"2020-11-24","Mondariz",4440,22,NA,NA,495.495495495495,NA,NA
"2020-11-24","Pontecesures",3052,10,NA,NA,327.653997378768,NA,NA
"2020-11-24","Cuntis",4677,15,NA,NA,320.71840923669,NA,NA
"2020-11-24","Ribadeo",9854,10,NA,NA,101.48163182464,NA,NA
"2020-11-24","Vilardevós",1846,NA,NA,NA,NA,NA,NA
"2020-11-24","A Cañiza",5180,16,NA,NA,308.880308880309,NA,NA
"2020-11-24","Lousame",3338,NA,1,9,NA,29.9580587177951,269.622528460156
"2020-11-24","Coles",3050,NA,1,9,NA,32.7868852459016,295.081967213115
"2020-11-24","Cerdedo-Cotobade",5699,15,NA,NA,263.20407088963,NA,NA
"2020-11-24","Meaño",5272,20,NA,NA,379.362670713202,NA,NA
"2020-11-24","Os Blancos",766,NA,1,9,NA,130.548302872063,1174.93472584856
"2020-11-24","O Irixo",1466,NA,1,9,NA,68.212824010914,613.915416098227
"2020-11-24","Carral",6408,10,NA,NA,156.05493133583,NA,NA
"2020-11-24","Teo",18579,24,NA,NA,129.178104311319,NA,NA
"2020-11-24","Verea",943,NA,1,9,NA,106.044538706257,954.40084835631
"2020-11-24","Foz",9980,24,NA,NA,240.480961923848,NA,NA
"2020-11-24","Ribadavia",5024,29,NA,NA,577.229299363057,NA,NA
"2020-11-24","Moeche",1226,NA,1,9,NA,81.5660685154976,734.094616639478
"2020-11-24","Piñor",1176,NA,1,9,NA,85.0340136054422,765.30612244898
"2020-11-24","Castrelo do Val",984,NA,NA,NA,NA,NA,NA
"2020-11-24","Begonte",3026,NA,1,9,NA,33.0469266358229,297.422339722406
"2020-11-24","Cangas",26542,39,NA,NA,146.936930148444,NA,NA
"2020-11-24","Vilarmaior",1226,NA,1,9,NA,81.5660685154976,734.094616639478
"2020-11-24","As Neves",3841,NA,1,9,NA,26.0348867482426,234.313980734184
"2020-11-24","Friol",3744,NA,1,9,NA,26.7094017094017,240.384615384615
"2020-11-24","A Rúa",4314,25,NA,NA,579.508576726936,NA,NA
"2020-11-24","Trasmiras",1286,NA,NA,NA,NA,NA,NA
"2020-11-24","As Somozas",1098,NA,1,9,NA,91.0746812386157,819.672131147541
"2020-11-24","Toques",1124,NA,NA,NA,NA,NA,NA
"2020-11-24","Tui",16701,50,NA,NA,299.383270462847,NA,NA
"2020-11-24","Navia de Suarna",1081,NA,NA,NA,NA,NA,NA
"2020-11-24","Ponteceso",5502,31,NA,NA,563.431479462014,NA,NA
"2020-11-24","Boborás",2285,NA,1,9,NA,43.7636761487965,393.873085339168
"2020-11-24","Pantón",2542,NA,1,9,NA,39.33910306845,354.05192761605
"2020-11-24","Meira",1725,NA,1,9,NA,57.9710144927536,521.739130434783
"2020-11-24","Ourol",1018,NA,NA,NA,NA,NA,NA
"2020-11-24","Triacastela",641,NA,1,9,NA,156.00624024961,1404.05616224649
"2020-11-24","Ramirás",1584,NA,1,9,NA,63.1313131313131,568.181818181818
"2020-11-24","Trazo",3113,NA,1,9,NA,32.123353678124,289.110183103116
"2020-11-24","Taboada",2756,NA,1,9,NA,36.2844702467344,326.56023222061
"2020-11-24","Rodeiro",2437,NA,1,9,NA,41.0340582683627,369.306524415265
"2020-11-24","Lalín",20218,58,NA,NA,286.873083391038,NA,NA
"2020-11-24","Miño",6200,NA,1,9,NA,16.1290322580645,145.161290322581
"2020-11-24","Moraña",4179,NA,1,9,NA,23.9291696578129,215.362526920316
"2020-11-24","Mugardos",5245,NA,1,9,NA,19.0657769304099,171.591992373689
"2020-11-24","San Xoán de Río",531,NA,NA,NA,NA,NA,NA
"2020-11-24","Vilamarín",1854,NA,1,9,NA,53.9374325782093,485.436893203883
"2020-11-24","Abadín",2367,NA,1,9,NA,42.247570764681,380.228136882129
"2020-11-24","Ribadumia",5052,28,NA,NA,554.235946159937,NA,NA
"2020-11-24","A Peroxa",1819,NA,1,9,NA,54.9752611324904,494.777350192413
"2020-11-24","Cortegada",1085,NA,NA,NA,NA,NA,NA
"2020-11-24","Laza",1228,NA,NA,NA,NA,NA,NA
"2020-11-24","A Mezquita",1023,NA,NA,NA,NA,NA,NA
"2020-11-24","Gondomar",14286,31,NA,NA,216.995660086798,NA,NA
"2020-11-24","Malpica de Bergantiños",5391,49,NA,NA,908.922277870525,NA,NA
"2020-11-24","Pontevedra",83029,298,NA,NA,358.910742029893,NA,NA
"2020-11-24","Valga",5869,32,NA,NA,545.237689555291,NA,NA
"2020-11-24","O Carballiño",14027,11,NA,NA,78.4201896342768,NA,NA
"2020-11-24","Outes",6282,NA,1,9,NA,15.9184972938555,143.266475644699
"2020-11-24","O Rosal",6234,19,NA,NA,304.780237407764,NA,NA
"2020-11-24","Oia",3053,14,NA,NA,458.565345561743,NA,NA
"2020-11-24","Cerdido",1113,NA,1,9,NA,89.8472596585804,808.625336927224
"2020-11-24","Sarria",13330,40,NA,NA,300.075018754689,NA,NA
"2020-11-24","Silleda",8687,18,NA,NA,207.206170139289,NA,NA
"2020-11-24","O Páramo",1366,NA,1,9,NA,73.2064421669107,658.857979502196
"2020-11-24","Ortigueira",5671,NA,1,9,NA,17.6335743255158,158.702168929642
"2020-11-24","Sobrado",1758,NA,1,9,NA,56.8828213879408,511.945392491468
"2020-11-24","Verín",13723,NA,1,9,NA,7.28703636231145,65.583327260803
"2020-11-24","Cospeito",4484,12,NA,NA,267.618198037467,NA,NA
"2020-11-24","Brión",7837,11,NA,NA,140.359831568202,NA,NA
"2020-11-24","Covelo",2396,NA,1,9,NA,41.7362270450751,375.626043405676
"2020-11-24","San Cibrao das Viñas",5405,NA,1,9,NA,18.5013876040703,166.512488436633
"2020-11-24","Camariñas",5272,11,NA,NA,208.649468892261,NA,NA
"2020-11-24","Tordoia",3299,11,NA,NA,333.434374052743,NA,NA
"2020-11-24","Cambre",24648,64,NA,NA,259.655955858488,NA,NA
"2020-11-24","Cenlle",1120,NA,NA,NA,NA,NA,NA
"2020-11-24","Baños de Molgas",1519,NA,1,9,NA,65.8327847267939,592.495062541146
"2020-11-24","Campo Lameiro",1817,NA,1,9,NA,55.0357732526142,495.321959273528
"2020-11-24","O Barco de Valdeorras",13395,23,NA,NA,171.70586039567,NA,NA
"2020-11-24","Fornelos de Montes",1616,NA,1,9,NA,61.8811881188119,556.930693069307
"2020-11-24","Agolada",2344,NA,1,9,NA,42.6621160409556,383.959044368601
"2020-11-24","Mos",15078,198,NA,NA,1313.17150815758,NA,NA
"2020-11-24","Baltar",962,13,NA,NA,1351.35135135135,NA,NA
"2020-11-24","Riotorto",1262,NA,NA,NA,NA,NA,NA
"2020-11-24","Oímbra",1712,NA,1,9,NA,58.411214953271,525.700934579439
"2020-11-24","Irixoa",1334,21,NA,NA,1574.21289355322,NA,NA
"2020-11-24","Corcubión",1589,NA,NA,NA,NA,NA,NA
"2020-11-24","Burela",9588,35,NA,NA,365.039632874426,NA,NA
"2020-11-24","Portas",2940,NA,1,9,NA,34.0136054421769,306.122448979592
"2020-11-24","Boiro",18838,47,NA,NA,249.495700180486,NA,NA
"2020-11-24","Ribeira de Piquín",528,NA,NA,NA,NA,NA,NA
"2020-11-24","Betanzos",12959,31,NA,NA,239.215988888031,NA,NA
"2020-11-24","Carballedo",2193,NA,1,9,NA,45.5996352029184,410.396716826265
"2020-11-24","Negueira de Muñiz",215,NA,NA,NA,NA,NA,NA
