"fecha","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max"
"2020-11-23","Ames",31793,33,NA,NA,103.796433177114,NA,NA
"2020-11-23","Becerreá",2818,NA,1,9,NA,35.486160397445,319.375443577005
"2020-11-23","Frades",2339,NA,1,9,NA,42.7533133817871,384.779820436084
"2020-11-23","Ribas de Sil",947,NA,1,9,NA,105.596620908131,950.369588173178
"2020-11-23","Mondariz",4440,24,NA,NA,540.540540540541,NA,NA
"2020-11-23","Pontecesures",3052,10,NA,NA,327.653997378768,NA,NA
"2020-11-23","Cuntis",4677,15,NA,NA,320.71840923669,NA,NA
"2020-11-23","Ribadeo",9854,12,NA,NA,121.777958189568,NA,NA
"2020-11-23","Vilardevós",1846,NA,NA,NA,NA,NA,NA
"2020-11-23","A Cañiza",5180,17,NA,NA,328.185328185328,NA,NA
"2020-11-23","Lousame",3338,NA,1,9,NA,29.9580587177951,269.622528460156
"2020-11-23","Coles",3050,NA,1,9,NA,32.7868852459016,295.081967213115
"2020-11-23","Cerdedo-Cotobade",5699,13,NA,NA,228.110194771012,NA,NA
"2020-11-23","Meaño",5272,15,NA,NA,284.522003034901,NA,NA
"2020-11-23","Os Blancos",766,NA,1,9,NA,130.548302872063,1174.93472584856
"2020-11-23","O Irixo",1466,NA,1,9,NA,68.212824010914,613.915416098227
"2020-11-23","Carral",6408,10,NA,NA,156.05493133583,NA,NA
"2020-11-23","Teo",18579,26,NA,NA,139.942946337262,NA,NA
"2020-11-23","Verea",943,NA,1,9,NA,106.044538706257,954.40084835631
"2020-11-23","Foz",9980,24,NA,NA,240.480961923848,NA,NA
"2020-11-23","Ribadavia",5024,29,NA,NA,577.229299363057,NA,NA
"2020-11-23","Moeche",1226,NA,1,9,NA,81.5660685154976,734.094616639478
"2020-11-23","Piñor",1176,NA,1,9,NA,85.0340136054422,765.30612244898
"2020-11-23","Castrelo do Val",984,NA,NA,NA,NA,NA,NA
"2020-11-23","Begonte",3026,NA,1,9,NA,33.0469266358229,297.422339722406
"2020-11-23","Cangas",26542,34,NA,NA,128.098862180695,NA,NA
"2020-11-23","Vilarmaior",1226,NA,1,9,NA,81.5660685154976,734.094616639478
"2020-11-23","As Neves",3841,NA,1,9,NA,26.0348867482426,234.313980734184
"2020-11-23","Friol",3744,NA,1,9,NA,26.7094017094017,240.384615384615
"2020-11-23","A Rúa",4314,24,NA,NA,556.328233657858,NA,NA
"2020-11-23","Trasmiras",1286,NA,NA,NA,NA,NA,NA
"2020-11-23","As Somozas",1098,NA,1,9,NA,91.0746812386157,819.672131147541
"2020-11-23","Toques",1124,NA,NA,NA,NA,NA,NA
"2020-11-23","Tui",16701,46,NA,NA,275.432608825819,NA,NA
"2020-11-23","Navia de Suarna",1081,NA,NA,NA,NA,NA,NA
"2020-11-23","Ponteceso",5502,36,NA,NA,654.307524536532,NA,NA
"2020-11-23","Boborás",2285,NA,1,9,NA,43.7636761487965,393.873085339168
"2020-11-23","Pantón",2542,NA,1,9,NA,39.33910306845,354.05192761605
"2020-11-23","Meira",1725,NA,1,9,NA,57.9710144927536,521.739130434783
