"fecha","codigo_municipio","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max","casos_7d","casos_7d_min","casos_7d_max","IA7","IA7_min","IA7_max"
"2022-04-09","15002","Ames",31793,171,NA,NA,537.854244645048,NA,NA,72,NA,NA,226.464945113704,NA,NA
"2022-04-09","27006","Becerreá",2818,27,NA,NA,958.126330731015,NA,NA,15,NA,NA,532.292405961675,NA,NA
"2022-04-09","15038","Frades",2339,NA,1,9,NA,42.7533133817871,384.779820436084,NA,1,9,NA,42.7533133817871,384.779820436084
"2022-04-09","27052","Ribas de Sil",947,NA,1,9,NA,105.596620908131,950.369588173178,NA,1,9,NA,105.596620908131,950.369588173178
"2022-04-09","36030","Mondariz",4440,14,NA,NA,315.315315315315,NA,NA,10,NA,NA,225.225225225225,NA,NA
"2022-04-09","36044","Pontecesures",3052,NA,1,9,NA,32.7653997378768,294.888597640891,NA,1,9,NA,32.7653997378768,294.888597640891
"2022-04-09","36015","Cuntis",4677,18,NA,NA,384.862091084028,NA,NA,NA,1,9,NA,21.381227282446,192.431045542014
"2022-04-09","27051","Ribadeo",9854,51,NA,NA,517.556322305663,NA,NA,37,NA,NA,375.482037751167,NA,NA
"2022-04-09","32091","Vilardevós",1846,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2022-04-09","36009","A Cañiza",5180,33,NA,NA,637.065637065637,NA,NA,10,NA,NA,193.050193050193,NA,NA
"2022-04-09","15042","Lousame",3338,12,NA,NA,359.496704613541,NA,NA,NA,1,9,NA,29.9580587177951,269.622528460156
"2022-04-09","32026","Coles",3050,12,NA,NA,393.44262295082,NA,NA,NA,1,9,NA,32.7868852459016,295.081967213115
"2022-04-09","36902","Cerdedo-Cotobade",5699,35,NA,NA,614.142832075803,NA,NA,17,NA,NA,298.297947008247,NA,NA
"2022-04-09","36027","Meaño",5272,24,NA,NA,455.235204855842,NA,NA,10,NA,NA,189.681335356601,NA,NA
"2022-04-09","32012","Os Blancos",766,NA,1,9,NA,130.548302872063,1174.93472584856,NA,1,9,NA,130.548302872063,1174.93472584856
"2022-04-09","32035","O Irixo",1466,NA,1,9,NA,68.212824010914,613.915416098227,NA,1,9,NA,68.212824010914,613.915416098227
"2022-04-09","15021","Carral",6408,28,NA,NA,436.953807740325,NA,NA,15,NA,NA,234.082397003745,NA,NA
"2022-04-09","15082","Teo",18579,85,NA,NA,457.505786102589,NA,NA,37,NA,NA,199.14957747995,NA,NA
"2022-04-09","32084","Verea",943,NA,1,9,NA,106.044538706257,954.40084835631,NA,1,9,NA,106.044538706257,954.40084835631
