"fecha","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max"
"2020-11-22","Cenlle",1120,NA,NA,NA,NA,NA,NA
"2020-11-22","Baños de Molgas",1519,NA,1,9,NA,65.8327847267939,592.495062541146
"2020-11-22","Campo Lameiro",1817,NA,1,9,NA,55.0357732526142,495.321959273528
"2020-11-22","O Barco de Valdeorras",13395,26,NA,NA,194.102276969018,NA,NA
"2020-11-22","Fornelos de Montes",1616,NA,1,9,NA,61.8811881188119,556.930693069307
"2020-11-22","Agolada",2344,NA,1,9,NA,42.6621160409556,383.959044368601
"2020-11-22","Mos",15078,204,NA,NA,1352.96458416236,NA,NA
"2020-11-22","Baltar",962,10,NA,NA,1039.50103950104,NA,NA
"2020-11-22","Riotorto",1262,NA,NA,NA,NA,NA,NA
"2020-11-22","Oímbra",1712,NA,NA,NA,NA,NA,NA
"2020-11-22","Irixoa",1334,14,NA,NA,1049.47526236882,NA,NA
"2020-11-22","Corcubión",1589,NA,NA,NA,NA,NA,NA
"2020-11-22","Burela",9588,36,NA,NA,375.469336670839,NA,NA
"2020-11-22","Portas",2940,10,NA,NA,340.136054421769,NA,NA
"2020-11-22","Boiro",18838,47,NA,NA,249.495700180486,NA,NA
"2020-11-22","Ribeira de Piquín",528,NA,NA,NA,NA,NA,NA
"2020-11-22","Betanzos",12959,30,NA,NA,231.499344085192,NA,NA
"2020-11-22","Carballedo",2193,NA,1,9,NA,45.5996352029184,410.396716826265
"2020-11-22","Negueira de Muñiz",215,NA,NA,NA,NA,NA,NA
"2020-11-22","Bergondo",6633,19,NA,NA,286.446555103272,NA,NA
"2020-11-22","Carballeda de Avia",1286,NA,1,9,NA,77.7604976671851,699.844479004666
"2020-11-22","Chantada",8192,40,NA,NA,488.28125,NA,NA
"2020-11-22","Beade",397,NA,NA,NA,NA,NA,NA
"2020-11-22","Pazos de Borbén",2999,17,NA,NA,566.855618539513,NA,NA
"2020-11-22","Carballo",31349,183,NA,NA,583.750677852563,NA,NA
"2020-11-22","Pol",1609,NA,1,9,NA,62.1504039776258,559.353635798633
"2020-11-22","Ordes",12674,36,NA,NA,284.046078586082,NA,NA
"2020-11-22","Barro",3680,NA,1,9,NA,27.1739130434783,244.565217391304
"2020-11-22","Valdoviño",6563,11,NA,NA,167.606277616943,NA,NA
"2020-11-22","Moaña",19399,84,NA,NA,433.012010928398,NA,NA
"2020-11-22","Xinzo de Limia",9715,66,NA,NA,679.361811631498,NA,NA
"2020-11-22","Padrón",8384,NA,1,9,NA,11.9274809160305,107.347328244275
"2020-11-22","Rois",4512,25,NA,NA,554.078014184397,NA,NA
"2020-11-22","Cervo",4227,14,NA,NA,331.204163709487,NA,NA
"2020-11-22","A Pobra do Caramiñal",9338,11,NA,NA,117.798243735275,NA,NA
"2020-11-22","Rubiá",1393,NA,NA,NA,NA,NA,NA
"2020-11-22","Padrenda",1748,NA,NA,NA,NA,NA,NA
"2020-11-22","Monforte de Lemos",18433,29,NA,NA,157.326533933706,NA,NA
"2020-11-22","Rianxo",11033,NA,1,9,NA,9.0637179370978,81.5734614338802
"2020-11-22","Ares",5732,14,NA,NA,244.242847173761,NA,NA
"2020-11-22","A Laracha",11347,42,NA,NA,370.141887723627,NA,NA
"2020-11-22","Santa Comba",9426,31,NA,NA,328.877572671335,NA,NA
"2020-11-22","Lourenzá",2140,NA,1,9,NA,46.7289719626168,420.560747663551
"2020-11-22","San Cristovo de Cea",2137,NA,1,9,NA,46.7945718296678,421.15114646701
"2020-11-22","Maside",2705,NA,1,9,NA,36.9685767097967,332.71719038817
"2020-11-22","Vilamartín de Valdeorras",1790,NA,1,9,NA,55.8659217877095,502.793296089385
"2020-11-22","Cartelle",2642,NA,1,9,NA,37.8501135503407,340.651021953066
"2020-11-22","Muíños",1502,NA,1,9,NA,66.577896138482,599.201065246338
"2020-11-22","Forcarei",3388,NA,1,9,NA,29.5159386068477,265.643447461629
"2020-11-22","Vedra",5036,NA,1,9,NA,19.8570293884035,178.713264495631
"2020-11-22","Caldas de Reis",9785,35,NA,NA,357.690342360756,NA,NA
"2020-11-22","Ponte Caldelas",5494,NA,1,9,NA,18.201674554059,163.815070986531
"2020-11-22","Parada de Sil",538,NA,NA,NA,NA,NA,NA
"2020-11-22","Vilar de Barrio",1307,NA,NA,NA,NA,NA,NA
"2020-11-22","Nigrán",17675,40,NA,NA,226.308345120226,NA,NA
"2020-11-22","San Amaro",1089,NA,NA,NA,NA,NA,NA
"2020-11-22","Laxe",3016,16,NA,NA,530.503978779841,NA,NA
"2020-11-22","Abegondo",5406,11,NA,NA,203.477617462079,NA,NA
"2020-11-22","O Incio",1570,NA,1,9,NA,63.6942675159236,573.248407643312
"2020-11-22","Viveiro",15466,22,NA,NA,142.247510668563,NA,NA
"2020-11-22","Gomesende",732,NA,NA,NA,NA,NA,NA
"2020-11-22","A Merca",1913,NA,1,9,NA,52.2739153162572,470.465237846315
"2020-11-22","Dozón",1082,NA,NA,NA,NA,NA,NA
"2020-11-22","Boqueixón",4220,NA,1,9,NA,23.696682464455,213.270142180095
"2020-11-22","Bueu",12009,20,NA,NA,166.541760346407,NA,NA
"2020-11-22","Avión",1795,NA,1,9,NA,55.7103064066852,501.392757660167
"2020-11-22","O Bolo",884,NA,NA,NA,NA,NA,NA
"2020-11-22","O Porriño",19848,83,NA,NA,418.178153970173,NA,NA
"2020-11-22","Castro de Rei",5052,16,NA,NA,316.706254948535,NA,NA
"2020-11-22","Maceda",2872,NA,NA,NA,NA,NA,NA
"2020-11-22","San Sadurniño",2822,NA,1,9,NA,35.4358610914245,318.922749822821
"2020-11-22","Toén",2355,NA,1,9,NA,42.4628450106157,382.165605095541
"2020-11-22","A Capela",1232,NA,1,9,NA,81.1688311688312,730.51948051948
"2020-11-22","Vigo",295364,1051,NA,NA,355.832125783779,NA,NA
"2020-11-22","Cambados",13744,62,NA,NA,451.105937136205,NA,NA
"2020-11-22","Ferrol",66065,179,NA,NA,270.945281162491,NA,NA
"2020-11-22","Paradela",1779,NA,1,9,NA,56.2113546936481,505.902192242833
"2020-11-22","As Nogais",1079,NA,NA,NA,NA,NA,NA
"2020-11-22","Muros",8556,14,NA,NA,163.627863487611,NA,NA
"2020-11-22","Meis",4791,30,NA,NA,626.174076393237,NA,NA
"2020-11-22","Barbadás",11037,22,NA,NA,199.329527951436,NA,NA
