"fecha","codigo_municipio","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max","casos_7d","casos_7d_min","casos_7d_max","IA7","IA7_min","IA7_max"
"2022-06-27","15002","Ames",31793,182,NA,NA,572.453055704086,NA,NA,119,NA,NA,374.296228729595,NA,NA
"2022-06-27","27006","Becerreá",2818,10,NA,NA,354.86160397445,NA,NA,NA,1,9,NA,35.486160397445,319.375443577005
"2022-06-27","15038","Frades",2339,10,NA,NA,427.533133817871,NA,NA,NA,1,9,NA,42.7533133817871,384.779820436084
"2022-06-27","27052","Ribas de Sil",947,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2022-06-27","36030","Mondariz",4440,17,NA,NA,382.882882882883,NA,NA,11,NA,NA,247.747747747748,NA,NA
"2022-06-27","36044","Pontecesures",3052,15,NA,NA,491.480996068152,NA,NA,NA,1,9,NA,32.7653997378768,294.888597640891
"2022-06-27","36015","Cuntis",4677,32,NA,NA,684.199273038272,NA,NA,13,NA,NA,277.955954671798,NA,NA
"2022-06-27","27051","Ribadeo",9854,28,NA,NA,284.148569108991,NA,NA,15,NA,NA,152.22244773696,NA,NA
"2022-06-27","32091","Vilardevós",1846,NA,1,9,NA,54.1711809317443,487.540628385699,NA,1,9,NA,54.1711809317443,487.540628385699
"2022-06-27","36009","A Cañiza",5180,23,NA,NA,444.015444015444,NA,NA,14,NA,NA,270.27027027027,NA,NA
"2022-06-27","15042","Lousame",3338,20,NA,NA,599.161174355902,NA,NA,NA,1,9,NA,29.9580587177951,269.622528460156
"2022-06-27","32026","Coles",3050,13,NA,NA,426.229508196721,NA,NA,NA,1,9,NA,32.7868852459016,295.081967213115
"2022-06-27","36902","Cerdedo-Cotobade",5699,39,NA,NA,684.330584313037,NA,NA,20,NA,NA,350.938761186173,NA,NA
"2022-06-27","36027","Meaño",5272,20,NA,NA,379.362670713202,NA,NA,10,NA,NA,189.681335356601,NA,NA
"2022-06-27","32012","Os Blancos",766,NA,1,9,NA,130.548302872063,1174.93472584856,NA,1,9,NA,130.548302872063,1174.93472584856
"2022-06-27","32035","O Irixo",1466,NA,1,9,NA,68.212824010914,613.915416098227,NA,1,9,NA,68.212824010914,613.915416098227
"2022-06-27","15021","Carral",6408,19,NA,NA,296.504369538077,NA,NA,NA,1,9,NA,15.605493133583,140.449438202247
"2022-06-27","15082","Teo",18579,96,NA,NA,516.712417245277,NA,NA,45,NA,NA,242.208945583724,NA,NA
"2022-06-27","32084","Verea",943,NA,1,9,NA,106.044538706257,954.40084835631,0,NA,NA,0,NA,NA
"2022-06-27","27019","Foz",9980,41,NA,NA,410.821643286573,NA,NA,20,NA,NA,200.400801603206,NA,NA
"2022-06-27","32069","Ribadavia",5024,35,NA,NA,696.656050955414,NA,NA,17,NA,NA,338.375796178344,NA,NA
"2022-06-27","15049","Moeche",1226,NA,1,9,NA,81.5660685154976,734.094616639478,NA,1,9,NA,81.5660685154976,734.094616639478
"2022-06-27","32061","Piñor",1176,NA,1,9,NA,85.0340136054422,765.30612244898,NA,1,9,NA,85.0340136054422,765.30612244898
"2022-06-27","32021","Castrelo do Val",984,NA,1,9,NA,101.626016260163,914.634146341463,NA,1,9,NA,101.626016260163,914.634146341463
"2022-06-27","27007","Begonte",3026,NA,1,9,NA,33.0469266358229,297.422339722406,NA,1,9,NA,33.0469266358229,297.422339722406
"2022-06-27","36008","Cangas",26542,129,NA,NA,486.02215356793,NA,NA,74,NA,NA,278.803405922689,NA,NA
"2022-06-27","15091","Vilarmaior",1226,NA,1,9,NA,81.5660685154976,734.094616639478,0,NA,NA,0,NA,NA
"2022-06-27","36034","As Neves",3841,12,NA,NA,312.418640978912,NA,NA,NA,1,9,NA,26.0348867482426,234.313980734184
"2022-06-27","27020","Friol",3744,16,NA,NA,427.350427350427,NA,NA,12,NA,NA,320.51282051282,NA,NA
"2022-06-27","32072","A Rúa",4314,13,NA,NA,301.344459898007,NA,NA,NA,1,9,NA,23.1803430690774,208.623087621697
"2022-06-27","32082","Trasmiras",1286,13,NA,NA,1010.88646967341,NA,NA,NA,1,9,NA,77.7604976671851,699.844479004666
