"fecha","codigo_municipio","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max","casos_7d","casos_7d_min","casos_7d_max","IA7","IA7_min","IA7_max"
"2021-08-30","15002","Ames",31793,57,NA,NA,179.284748215016,NA,NA,28,NA,NA,88.0697008775517,NA,NA
"2021-08-30","27006","Becerreá",2818,NA,1,9,NA,35.486160397445,319.375443577005,NA,1,9,NA,35.486160397445,319.375443577005
"2021-08-30","15038","Frades",2339,19,NA,NA,812.312954253955,NA,NA,13,NA,NA,555.793073963232,NA,NA
"2021-08-30","27052","Ribas de Sil",947,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-08-30","36030","Mondariz",4440,NA,1,9,NA,22.5225225225225,202.702702702703,NA,1,9,NA,22.5225225225225,202.702702702703
"2021-08-30","36044","Pontecesures",3052,NA,1,9,NA,32.7653997378768,294.888597640891,0,NA,NA,0,NA,NA
"2021-08-30","36015","Cuntis",4677,NA,1,9,NA,21.381227282446,192.431045542014,NA,1,9,NA,21.381227282446,192.431045542014
"2021-08-30","27051","Ribadeo",9854,24,NA,NA,243.555916379135,NA,NA,14,NA,NA,142.074284554496,NA,NA
"2021-08-30","32091","Vilardevós",1846,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-08-30","36009","A Cañiza",5180,29,NA,NA,559.84555984556,NA,NA,10,NA,NA,193.050193050193,NA,NA
"2021-08-30","15042","Lousame",3338,NA,1,9,NA,29.9580587177951,269.622528460156,NA,1,9,NA,29.9580587177951,269.622528460156
"2021-08-30","32026","Coles",3050,NA,1,9,NA,32.7868852459016,295.081967213115,NA,1,9,NA,32.7868852459016,295.081967213115
"2021-08-30","36902","Cerdedo-Cotobade",5699,17,NA,NA,298.297947008247,NA,NA,NA,1,9,NA,17.5469380593087,157.922442533778
"2021-08-30","36027","Meaño",5272,NA,1,9,NA,18.9681335356601,170.713201820941,NA,1,9,NA,18.9681335356601,170.713201820941
"2021-08-30","32012","Os Blancos",766,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-08-30","32035","O Irixo",1466,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-08-30","15021","Carral",6408,22,NA,NA,343.320848938826,NA,NA,NA,1,9,NA,15.605493133583,140.449438202247
"2021-08-30","15082","Teo",18579,28,NA,NA,150.707788363206,NA,NA,13,NA,NA,69.9714731686312,NA,NA
"2021-08-30","32084","Verea",943,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-08-30","27019","Foz",9980,18,NA,NA,180.360721442886,NA,NA,10,NA,NA,100.200400801603,NA,NA
"2021-08-30","32069","Ribadavia",5024,NA,1,9,NA,19.9044585987261,179.140127388535,NA,1,9,NA,19.9044585987261,179.140127388535
"2021-08-30","15049","Moeche",1226,NA,1,9,NA,81.5660685154976,734.094616639478,0,NA,NA,0,NA,NA
"2021-08-30","32061","Piñor",1176,NA,1,9,NA,85.0340136054422,765.30612244898,0,NA,NA,0,NA,NA
"2021-08-30","32021","Castrelo do Val",984,NA,1,9,NA,101.626016260163,914.634146341463,NA,1,9,NA,101.626016260163,914.634146341463
"2021-08-30","27007","Begonte",3026,17,NA,NA,561.797752808989,NA,NA,NA,1,9,NA,33.0469266358229,297.422339722406
"2021-08-30","36008","Cangas",26542,40,NA,NA,150.704543741994,NA,NA,17,NA,NA,64.0494310903474,NA,NA
"2021-08-30","15091","Vilarmaior",1226,NA,1,9,NA,81.5660685154976,734.094616639478,NA,1,9,NA,81.5660685154976,734.094616639478
"2021-08-30","36034","As Neves",3841,NA,1,9,NA,26.0348867482426,234.313980734184,NA,1,9,NA,26.0348867482426,234.313980734184
"2021-08-30","27020","Friol",3744,12,NA,NA,320.51282051282,NA,NA,12,NA,NA,320.51282051282,NA,NA
"2021-08-30","32072","A Rúa",4314,NA,1,9,NA,23.1803430690774,208.623087621697,NA,1,9,NA,23.1803430690774,208.623087621697
"2021-08-30","32082","Trasmiras",1286,NA,1,9,NA,77.7604976671851,699.844479004666,NA,1,9,NA,77.7604976671851,699.844479004666
"2021-08-30","15081","As Somozas",1098,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-08-30","15083","Toques",1124,NA,1,9,NA,88.9679715302491,800.711743772242,NA,1,9,NA,88.9679715302491,800.711743772242
"2021-08-30","36055","Tui",16701,24,NA,NA,143.703969822166,NA,NA,NA,1,9,NA,5.98766540925693,53.8889886833124
"2021-08-30","27034","Navia de Suarna",1081,NA,1,9,NA,92.5069380203515,832.562442183164,NA,1,9,NA,92.5069380203515,832.562442183164
"2021-08-30","15068","Ponteceso",5502,24,NA,NA,436.205016357688,NA,NA,15,NA,NA,272.628135223555,NA,NA
"2021-08-30","32013","Boborás",2285,NA,1,9,NA,43.7636761487965,393.873085339168,NA,1,9,NA,43.7636761487965,393.873085339168
"2021-08-30","27041","Pantón",2542,NA,1,9,NA,39.33910306845,354.05192761605,NA,1,9,NA,39.33910306845,354.05192761605
"2021-08-30","27029","Meira",1725,10,NA,NA,579.710144927536,NA,NA,NA,1,9,NA,57.9710144927536,521.739130434783
"2021-08-30","27038","Ourol",1018,NA,1,9,NA,98.2318271119843,884.086444007859,0,NA,NA,0,NA,NA
"2021-08-30","27062","Triacastela",641,NA,1,9,NA,156.00624024961,1404.05616224649,NA,1,9,NA,156.00624024961,1404.05616224649
"2021-08-30","32068","Ramirás",1584,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-08-30","15086","Trazo",3113,27,NA,NA,867.330549309348,NA,NA,NA,1,9,NA,32.123353678124,289.110183103116
"2021-08-30","27060","Taboada",2756,NA,1,9,NA,36.2844702467344,326.56023222061,NA,1,9,NA,36.2844702467344,326.56023222061
"2021-08-30","36047","Rodeiro",2437,NA,1,9,NA,41.0340582683627,369.306524415265,NA,1,9,NA,41.0340582683627,369.306524415265
"2021-08-30","36024","Lalín",20218,52,NA,NA,257.196557522999,NA,NA,38,NA,NA,187.951330497576,NA,NA
"2021-08-30","15048","Miño",6200,14,NA,NA,225.806451612903,NA,NA,NA,1,9,NA,16.1290322580645,145.161290322581
"2021-08-30","36032","Moraña",4179,NA,1,9,NA,23.9291696578129,215.362526920316,NA,1,9,NA,23.9291696578129,215.362526920316
"2021-08-30","15051","Mugardos",5245,16,NA,NA,305.052430886559,NA,NA,NA,1,9,NA,19.0657769304099,171.591992373689
"2021-08-30","32070","San Xoán de Río",531,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-08-30","32087","Vilamarín",1854,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-08-30","27001","Abadín",2367,NA,1,9,NA,42.247570764681,380.228136882129,NA,1,9,NA,42.247570764681,380.228136882129
"2021-08-30","36046","Ribadumia",5052,NA,1,9,NA,19.7941409342835,178.147268408551,NA,1,9,NA,19.7941409342835,178.147268408551
"2021-08-30","32059","A Peroxa",1819,NA,1,9,NA,54.9752611324904,494.777350192413,0,NA,NA,0,NA,NA
"2021-08-30","32027","Cortegada",1085,NA,1,9,NA,92.1658986175115,829.493087557604,0,NA,NA,0,NA,NA
"2021-08-30","32039","Laza",1228,NA,1,9,NA,81.4332247557003,732.899022801303,NA,1,9,NA,81.4332247557003,732.899022801303
"2021-08-30","32048","A Mezquita",1023,NA,1,9,NA,97.7517106549365,879.765395894428,NA,1,9,NA,97.7517106549365,879.765395894428
"2021-08-30","36021","Gondomar",14286,38,NA,NA,265.994680106398,NA,NA,12,NA,NA,83.9983200335993,NA,NA
"2021-08-30","15043","Malpica de Bergantiños",5391,20,NA,NA,370.988684845112,NA,NA,NA,1,9,NA,18.5494342422556,166.944908180301
"2021-08-30","36038","Pontevedra",83029,152,NA,NA,183.068566404509,NA,NA,55,NA,NA,66.2419154753158,NA,NA
"2021-08-30","36056","Valga",5869,NA,1,9,NA,17.0386777986028,153.348100187425,0,NA,NA,0,NA,NA
"2021-08-30","32019","O Carballiño",14027,29,NA,NA,206.744136308548,NA,NA,11,NA,NA,78.4201896342768,NA,NA
"2021-08-30","15062","Outes",6282,NA,1,9,NA,15.9184972938555,143.266475644699,NA,1,9,NA,15.9184972938555,143.266475644699
"2021-08-30","36048","O Rosal",6234,14,NA,NA,224.574911774142,NA,NA,NA,1,9,NA,16.0410651267244,144.36958614052
"2021-08-30","36036","Oia",3053,NA,1,9,NA,32.7546675401245,294.79200786112,NA,1,9,NA,32.7546675401245,294.79200786112
"2021-08-30","15025","Cerdido",1113,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-08-30","27057","Sarria",13330,25,NA,NA,187.54688672168,NA,NA,13,NA,NA,97.5243810952738,NA,NA
"2021-08-30","36052","Silleda",8687,26,NA,NA,299.297801312306,NA,NA,13,NA,NA,149.648900656153,NA,NA
"2021-08-30","27043","O Páramo",1366,NA,1,9,NA,73.2064421669107,658.857979502196,NA,1,9,NA,73.2064421669107,658.857979502196
"2021-08-30","15061","Ortigueira",5671,10,NA,NA,176.335743255158,NA,NA,NA,1,9,NA,17.6335743255158,158.702168929642
"2021-08-30","15080","Sobrado",1758,NA,1,9,NA,56.8828213879408,511.945392491468,NA,1,9,NA,56.8828213879408,511.945392491468
"2021-08-30","32085","Verín",13723,33,NA,NA,240.472199956278,NA,NA,13,NA,NA,94.7314727100488,NA,NA
"2021-08-30","27015","Cospeito",4484,19,NA,NA,423.728813559322,NA,NA,13,NA,NA,289.919714540589,NA,NA
"2021-08-30","15013","Brión",7837,NA,1,9,NA,12.7599846880184,114.839862192165,NA,1,9,NA,12.7599846880184,114.839862192165
"2021-08-30","36013","Covelo",2396,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-08-30","32075","San Cibrao das Viñas",5405,NA,1,9,NA,18.5013876040703,166.512488436633,NA,1,9,NA,18.5013876040703,166.512488436633
"2021-08-30","15016","Camariñas",5272,21,NA,NA,398.330804248862,NA,NA,NA,1,9,NA,18.9681335356601,170.713201820941
"2021-08-30","15084","Tordoia",3299,13,NA,NA,394.058805698697,NA,NA,NA,1,9,NA,30.3122158229767,272.80994240679
"2021-08-30","15017","Cambre",24648,52,NA,NA,210.970464135021,NA,NA,18,NA,NA,73.0282375851996,NA,NA
"2021-08-30","32025","Cenlle",1120,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"2021-08-30","32007","Baños de Molgas",1519,NA,1,9,NA,65.8327847267939,592.495062541146,NA,1,9,NA,65.8327847267939,592.495062541146
"2021-08-30","36007","Campo Lameiro",1817,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
