"fecha","codigo_municipio","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max","casos_7d","casos_7d_min","casos_7d_max","IA7","IA7_min","IA7_max"
"2022-05-14","15002","Ames",31793,213,NA,NA,669.958795961375,NA,NA,89,NA,NA,279.935834932218,NA,NA
"2022-05-14","27006","Becerreá",2818,17,NA,NA,603.264726756565,NA,NA,NA,1,9,NA,35.486160397445,319.375443577005
"2022-05-14","15038","Frades",2339,15,NA,NA,641.299700726806,NA,NA,NA,1,9,NA,42.7533133817871,384.779820436084
"2022-05-14","27052","Ribas de Sil",947,12,NA,NA,1267.15945089757,NA,NA,NA,1,9,NA,105.596620908131,950.369588173178
"2022-05-14","36030","Mondariz",4440,29,NA,NA,653.153153153153,NA,NA,11,NA,NA,247.747747747748,NA,NA
"2022-05-14","36044","Pontecesures",3052,NA,1,9,NA,32.7653997378768,294.888597640891,NA,1,9,NA,32.7653997378768,294.888597640891
"2022-05-14","36015","Cuntis",4677,39,NA,NA,833.867864015394,NA,NA,21,NA,NA,449.005772931366,NA,NA
"2022-05-14","27051","Ribadeo",9854,52,NA,NA,527.704485488127,NA,NA,17,NA,NA,172.518774101888,NA,NA
"2022-05-14","32091","Vilardevós",1846,14,NA,NA,758.39653304442,NA,NA,NA,1,9,NA,54.1711809317443,487.540628385699
"2022-05-14","36009","A Cañiza",5180,28,NA,NA,540.540540540541,NA,NA,15,NA,NA,289.57528957529,NA,NA
"2022-05-14","15042","Lousame",3338,25,NA,NA,748.951467944877,NA,NA,NA,1,9,NA,29.9580587177951,269.622528460156
"2022-05-14","32026","Coles",3050,28,NA,NA,918.032786885246,NA,NA,NA,1,9,NA,32.7868852459016,295.081967213115
"2022-05-14","36902","Cerdedo-Cotobade",5699,41,NA,NA,719.424460431655,NA,NA,21,NA,NA,368.485699245482,NA,NA
"2022-05-14","36027","Meaño",5272,22,NA,NA,417.298937784522,NA,NA,11,NA,NA,208.649468892261,NA,NA
"2022-05-14","32012","Os Blancos",766,NA,1,9,NA,130.548302872063,1174.93472584856,NA,1,9,NA,130.548302872063,1174.93472584856
"2022-05-14","32035","O Irixo",1466,NA,1,9,NA,68.212824010914,613.915416098227,NA,1,9,NA,68.212824010914,613.915416098227
"2022-05-14","15021","Carral",6408,36,NA,NA,561.797752808989,NA,NA,18,NA,NA,280.898876404494,NA,NA
"2022-05-14","15082","Teo",18579,108,NA,NA,581.301469400937,NA,NA,42,NA,NA,226.061682544809,NA,NA
"2022-05-14","32084","Verea",943,NA,1,9,NA,106.044538706257,954.40084835631,NA,1,9,NA,106.044538706257,954.40084835631
"2022-05-14","27019","Foz",9980,39,NA,NA,390.781563126253,NA,NA,15,NA,NA,150.300601202405,NA,NA
"2022-05-14","32069","Ribadavia",5024,57,NA,NA,1134.55414012739,NA,NA,23,NA,NA,457.802547770701,NA,NA
"2022-05-14","15049","Moeche",1226,11,NA,NA,897.226753670473,NA,NA,NA,1,9,NA,81.5660685154976,734.094616639478
"2022-05-14","32061","Piñor",1176,NA,1,9,NA,85.0340136054422,765.30612244898,0,NA,NA,0,NA,NA
"2022-05-14","32021","Castrelo do Val",984,NA,1,9,NA,101.626016260163,914.634146341463,NA,1,9,NA,101.626016260163,914.634146341463
"2022-05-14","27007","Begonte",3026,NA,1,9,NA,33.0469266358229,297.422339722406,NA,1,9,NA,33.0469266358229,297.422339722406
"2022-05-14","36008","Cangas",26542,107,NA,NA,403.134654509833,NA,NA,46,NA,NA,173.310225303293,NA,NA
"2022-05-14","15091","Vilarmaior",1226,NA,1,9,NA,81.5660685154976,734.094616639478,NA,1,9,NA,81.5660685154976,734.094616639478
"2022-05-14","36034","As Neves",3841,12,NA,NA,312.418640978912,NA,NA,NA,1,9,NA,26.0348867482426,234.313980734184
"2022-05-14","27020","Friol",3744,14,NA,NA,373.931623931624,NA,NA,NA,1,9,NA,26.7094017094017,240.384615384615
"2022-05-14","32072","A Rúa",4314,42,NA,NA,973.574408901252,NA,NA,15,NA,NA,347.705146036161,NA,NA
"2022-05-14","32082","Trasmiras",1286,12,NA,NA,933.125972006221,NA,NA,NA,1,9,NA,77.7604976671851,699.844479004666
"2022-05-14","15081","As Somozas",1098,NA,1,9,NA,91.0746812386157,819.672131147541,NA,1,9,NA,91.0746812386157,819.672131147541
"2022-05-14","15083","Toques",1124,NA,1,9,NA,88.9679715302491,800.711743772242,NA,1,9,NA,88.9679715302491,800.711743772242
"2022-05-14","36055","Tui",16701,94,NA,NA,562.840548470151,NA,NA,44,NA,NA,263.457278007305,NA,NA
"2022-05-14","27034","Navia de Suarna",1081,14,NA,NA,1295.09713228492,NA,NA,NA,1,9,NA,92.5069380203515,832.562442183164
"2022-05-14","15068","Ponteceso",5502,33,NA,NA,599.781897491821,NA,NA,12,NA,NA,218.102508178844,NA,NA
"2022-05-14","32013","Boborás",2285,30,NA,NA,1312.91028446389,NA,NA,14,NA,NA,612.691466083151,NA,NA
"2022-05-14","27041","Pantón",2542,40,NA,NA,1573.564122738,NA,NA,12,NA,NA,472.0692368214,NA,NA
"2022-05-14","27029","Meira",1725,13,NA,NA,753.623188405797,NA,NA,NA,1,9,NA,57.9710144927536,521.739130434783
"2022-05-14","27038","Ourol",1018,NA,1,9,NA,98.2318271119843,884.086444007859,NA,1,9,NA,98.2318271119843,884.086444007859
"2022-05-14","27062","Triacastela",641,NA,1,9,NA,156.00624024961,1404.05616224649,NA,1,9,NA,156.00624024961,1404.05616224649
"2022-05-14","32068","Ramirás",1584,NA,1,9,NA,63.1313131313131,568.181818181818,NA,1,9,NA,63.1313131313131,568.181818181818
"2022-05-14","15086","Trazo",3113,12,NA,NA,385.480244137488,NA,NA,NA,1,9,NA,32.123353678124,289.110183103116
"2022-05-14","27060","Taboada",2756,32,NA,NA,1161.1030478955,NA,NA,NA,1,9,NA,36.2844702467344,326.56023222061
"2022-05-14","36047","Rodeiro",2437,11,NA,NA,451.37464095199,NA,NA,NA,1,9,NA,41.0340582683627,369.306524415265
"2022-05-14","36024","Lalín",20218,102,NA,NA,504.500939756653,NA,NA,46,NA,NA,227.520031654961,NA,NA
"2022-05-14","15048","Miño",6200,20,NA,NA,322.58064516129,NA,NA,NA,1,9,NA,16.1290322580645,145.161290322581
"2022-05-14","36032","Moraña",4179,30,NA,NA,717.875089734386,NA,NA,15,NA,NA,358.937544867193,NA,NA
"2022-05-14","15051","Mugardos",5245,43,NA,NA,819.828408007626,NA,NA,20,NA,NA,381.315538608198,NA,NA
"2022-05-14","32070","San Xoán de Río",531,NA,1,9,NA,188.323917137476,1694.91525423729,0,NA,NA,0,NA,NA
"2022-05-14","32087","Vilamarín",1854,11,NA,NA,593.311758360302,NA,NA,NA,1,9,NA,53.9374325782093,485.436893203883
"2022-05-14","27001","Abadín",2367,23,NA,NA,971.694127587664,NA,NA,13,NA,NA,549.218419940853,NA,NA
"2022-05-14","36046","Ribadumia",5052,13,NA,NA,257.323832145685,NA,NA,NA,1,9,NA,19.7941409342835,178.147268408551
"2022-05-14","32059","A Peroxa",1819,17,NA,NA,934.579439252336,NA,NA,10,NA,NA,549.752611324904,NA,NA
"2022-05-14","32027","Cortegada",1085,NA,1,9,NA,92.1658986175115,829.493087557604,NA,1,9,NA,92.1658986175115,829.493087557604
"2022-05-14","32039","Laza",1228,NA,1,9,NA,81.4332247557003,732.899022801303,NA,1,9,NA,81.4332247557003,732.899022801303
"2022-05-14","32048","A Mezquita",1023,NA,1,9,NA,97.7517106549365,879.765395894428,NA,1,9,NA,97.7517106549365,879.765395894428
"2022-05-14","36021","Gondomar",14286,73,NA,NA,510.989780204396,NA,NA,24,NA,NA,167.996640067199,NA,NA
"2022-05-14","15043","Malpica de Bergantiños",5391,18,NA,NA,333.889816360601,NA,NA,12,NA,NA,222.593210907067,NA,NA
"2022-05-14","36038","Pontevedra",83029,522,NA,NA,628.695997783907,NA,NA,243,NA,NA,292.668826554577,NA,NA
"2022-05-14","36056","Valga",5869,33,NA,NA,562.276367353893,NA,NA,17,NA,NA,289.657522576248,NA,NA
"2022-05-14","32019","O Carballiño",14027,95,NA,NA,677.265274114208,NA,NA,52,NA,NA,370.713623725672,NA,NA
"2022-05-14","15062","Outes",6282,27,NA,NA,429.799426934097,NA,NA,11,NA,NA,175.10347023241,NA,NA
"2022-05-14","36048","O Rosal",6234,14,NA,NA,224.574911774142,NA,NA,NA,1,9,NA,16.0410651267244,144.36958614052
"2022-05-14","36036","Oia",3053,12,NA,NA,393.056010481494,NA,NA,NA,1,9,NA,32.7546675401245,294.79200786112
"2022-05-14","15025","Cerdido",1113,NA,1,9,NA,89.8472596585804,808.625336927224,NA,1,9,NA,89.8472596585804,808.625336927224
"2022-05-14","27057","Sarria",13330,84,NA,NA,630.157539384846,NA,NA,41,NA,NA,307.576894223556,NA,NA
