"fecha","codigo_municipio","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max"
"2021-02-02","15002","Ames",31793,207,NA,NA,651.0867172019,NA,NA
"2021-02-02","27006","Becerreá",2818,NA,1,9,NA,35.486160397445,319.375443577005
"2021-02-02","15038","Frades",2339,21,NA,NA,897.819581017529,NA,NA
"2021-02-02","27052","Ribas de Sil",947,17,NA,NA,1795.14255543823,NA,NA
"2021-02-02","36030","Mondariz",4440,66,NA,NA,1486.48648648649,NA,NA
"2021-02-02","36044","Pontecesures",3052,71,NA,NA,2326.34338138925,NA,NA
"2021-02-02","36015","Cuntis",4677,27,NA,NA,577.293136626042,NA,NA
"2021-02-02","27051","Ribadeo",9854,26,NA,NA,263.852242744063,NA,NA
"2021-02-02","32091","Vilardevós",1846,20,NA,NA,1083.42361863489,NA,NA
"2021-02-02","36009","A Cañiza",5180,123,NA,NA,2374.51737451737,NA,NA
"2021-02-02","15042","Lousame",3338,NA,1,9,NA,29.9580587177951,269.622528460156
"2021-02-02","32026","Coles",3050,45,NA,NA,1475.40983606557,NA,NA
"2021-02-02","36902","Cerdedo-Cotobade",5699,24,NA,NA,421.126513423408,NA,NA
"2021-02-02","36027","Meaño",5272,27,NA,NA,512.139605462822,NA,NA
"2021-02-02","32012","Os Blancos",766,NA,1,9,NA,130.548302872063,1174.93472584856
"2021-02-02","32035","O Irixo",1466,NA,1,9,NA,68.212824010914,613.915416098227
"2021-02-02","15021","Carral",6408,54,NA,NA,842.696629213483,NA,NA
"2021-02-02","15082","Teo",18579,104,NA,NA,559.77178534905,NA,NA
"2021-02-02","32084","Verea",943,20,NA,NA,2120.89077412513,NA,NA
"2021-02-02","27019","Foz",9980,11,NA,NA,110.220440881764,NA,NA
"2021-02-02","32069","Ribadavia",5024,35,NA,NA,696.656050955414,NA,NA
"2021-02-02","15049","Moeche",1226,69,NA,NA,5628.05872756933,NA,NA
"2021-02-02","32061","Piñor",1176,NA,1,9,NA,85.0340136054422,765.30612244898
"2021-02-02","32021","Castrelo do Val",984,NA,1,9,NA,101.626016260163,914.634146341463
"2021-02-02","27007","Begonte",3026,18,NA,NA,594.844679444812,NA,NA
"2021-02-02","36008","Cangas",26542,110,NA,NA,414.437495290483,NA,NA
"2021-02-02","15091","Vilarmaior",1226,NA,1,9,NA,81.5660685154976,734.094616639478
"2021-02-02","36034","As Neves",3841,53,NA,NA,1379.84899765686,NA,NA
"2021-02-02","27020","Friol",3744,15,NA,NA,400.641025641026,NA,NA
"2021-02-02","32072","A Rúa",4314,18,NA,NA,417.246175243394,NA,NA
"2021-02-02","32082","Trasmiras",1286,24,NA,NA,1866.25194401244,NA,NA
"2021-02-02","15081","As Somozas",1098,12,NA,NA,1092.89617486339,NA,NA
"2021-02-02","15083","Toques",1124,NA,1,9,NA,88.9679715302491,800.711743772242
