"fecha","codigo_municipio","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max"
"2020-12-23","15002","Ames",31793,33,NA,NA,103.796433177114,NA,NA
"2020-12-23","27006","Becerreá",2818,NA,1,9,NA,35.486160397445,319.375443577005
"2020-12-23","15038","Frades",2339,NA,1,9,NA,42.7533133817871,384.779820436084
"2020-12-23","27052","Ribas de Sil",947,0,NA,NA,0,NA,NA
"2020-12-23","36030","Mondariz",4440,NA,1,9,NA,22.5225225225225,202.702702702703
"2020-12-23","36044","Pontecesures",3052,18,NA,NA,589.777195281782,NA,NA
"2020-12-23","36015","Cuntis",4677,NA,1,9,NA,21.381227282446,192.431045542014
"2020-12-23","27051","Ribadeo",9854,NA,1,9,NA,10.148163182464,91.3334686421758
"2020-12-23","32091","Vilardevós",1846,0,NA,NA,0,NA,NA
"2020-12-23","36009","A Cañiza",5180,16,NA,NA,308.880308880309,NA,NA
"2020-12-23","15042","Lousame",3338,NA,1,9,NA,29.9580587177951,269.622528460156
"2020-12-23","32026","Coles",3050,NA,1,9,NA,32.7868852459016,295.081967213115
"2020-12-23","36902","Cerdedo-Cotobade",5699,NA,1,9,NA,17.5469380593087,157.922442533778
"2020-12-23","36027","Meaño",5272,14,NA,NA,265.553869499241,NA,NA
"2020-12-23","32012","Os Blancos",766,0,NA,NA,0,NA,NA
"2020-12-23","32035","O Irixo",1466,0,NA,NA,0,NA,NA
"2020-12-23","15021","Carral",6408,18,NA,NA,280.898876404494,NA,NA
"2020-12-23","15082","Teo",18579,12,NA,NA,64.5890521556596,NA,NA
"2020-12-23","32084","Verea",943,0,NA,NA,0,NA,NA
"2020-12-23","27019","Foz",9980,NA,1,9,NA,10.0200400801603,90.1803607214429
"2020-12-23","32069","Ribadavia",5024,NA,1,9,NA,19.9044585987261,179.140127388535
"2020-12-23","15049","Moeche",1226,NA,1,9,NA,81.5660685154976,734.094616639478
"2020-12-23","32061","Piñor",1176,NA,1,9,NA,85.0340136054422,765.30612244898
"2020-12-23","32021","Castrelo do Val",984,NA,1,9,NA,101.626016260163,914.634146341463
"2020-12-23","27007","Begonte",3026,0,NA,NA,0,NA,NA
"2020-12-23","36008","Cangas",26542,65,NA,NA,244.89488358074,NA,NA
"2020-12-23","15091","Vilarmaior",1226,0,NA,NA,0,NA,NA
"2020-12-23","36034","As Neves",3841,NA,1,9,NA,26.0348867482426,234.313980734184
"2020-12-23","27020","Friol",3744,NA,1,9,NA,26.7094017094017,240.384615384615
"2020-12-23","32072","A Rúa",4314,33,NA,NA,764.951321279555,NA,NA
"2020-12-23","32082","Trasmiras",1286,NA,1,9,NA,77.7604976671851,699.844479004666
"2020-12-23","15081","As Somozas",1098,NA,1,9,NA,91.0746812386157,819.672131147541
"2020-12-23","15083","Toques",1124,NA,1,9,NA,88.9679715302491,800.711743772242
"2020-12-23","36055","Tui",16701,28,NA,NA,167.654631459194,NA,NA
"2020-12-23","27034","Navia de Suarna",1081,0,NA,NA,0,NA,NA
"2020-12-23","15068","Ponteceso",5502,NA,1,9,NA,18.1752090149037,163.576881134133
"2020-12-23","32013","Boborás",2285,0,NA,NA,0,NA,NA
"2020-12-23","27041","Pantón",2542,NA,1,9,NA,39.33910306845,354.05192761605
"2020-12-23","27029","Meira",1725,NA,1,9,NA,57.9710144927536,521.739130434783
"2020-12-23","27038","Ourol",1018,0,NA,NA,0,NA,NA
"2020-12-23","27062","Triacastela",641,0,NA,NA,0,NA,NA
"2020-12-23","32068","Ramirás",1584,0,NA,NA,0,NA,NA
"2020-12-23","15086","Trazo",3113,0,NA,NA,0,NA,NA
"2020-12-23","27060","Taboada",2756,NA,1,9,NA,36.2844702467344,326.56023222061
"2020-12-23","36047","Rodeiro",2437,26,NA,NA,1066.88551497743,NA,NA
"2020-12-23","36024","Lalín",20218,26,NA,NA,128.5982787615,NA,NA
"2020-12-23","15048","Miño",6200,NA,1,9,NA,16.1290322580645,145.161290322581
"2020-12-23","36032","Moraña",4179,NA,1,9,NA,23.9291696578129,215.362526920316
"2020-12-23","15051","Mugardos",5245,NA,1,9,NA,19.0657769304099,171.591992373689
"2020-12-23","32070","San Xoán de Río",531,0,NA,NA,0,NA,NA
"2020-12-23","32087","Vilamarín",1854,NA,1,9,NA,53.9374325782093,485.436893203883
"2020-12-23","27001","Abadín",2367,NA,1,9,NA,42.247570764681,380.228136882129
"2020-12-23","36046","Ribadumia",5052,NA,1,9,NA,19.7941409342835,178.147268408551
