"fecha","codigo_municipio","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max"
"2020-12-09","15002","Ames",31793,20,NA,NA,62.9069291982512,NA,NA
"2020-12-09","27006","Becerreá",2818,0,NA,NA,0,NA,NA
"2020-12-09","15038","Frades",2339,NA,1,9,NA,42.7533133817871,384.779820436084
"2020-12-09","27052","Ribas de Sil",947,0,NA,NA,0,NA,NA
"2020-12-09","36030","Mondariz",4440,NA,1,9,NA,22.5225225225225,202.702702702703
"2020-12-09","36044","Pontecesures",3052,NA,1,9,NA,32.7653997378768,294.888597640891
"2020-12-09","36015","Cuntis",4677,NA,1,9,NA,21.381227282446,192.431045542014
"2020-12-09","27051","Ribadeo",9854,NA,1,9,NA,10.148163182464,91.3334686421758
"2020-12-09","32091","Vilardevós",1846,NA,1,9,NA,54.1711809317443,487.540628385699
"2020-12-09","36009","A Cañiza",5180,NA,1,9,NA,19.3050193050193,173.745173745174
"2020-12-09","15042","Lousame",3338,NA,1,9,NA,29.9580587177951,269.622528460156
"2020-12-09","32026","Coles",3050,0,NA,NA,0,NA,NA
"2020-12-09","36902","Cerdedo-Cotobade",5699,10,NA,NA,175.469380593086,NA,NA
"2020-12-09","36027","Meaño",5272,17,NA,NA,322.458270106222,NA,NA
"2020-12-09","32012","Os Blancos",766,NA,1,9,NA,130.548302872063,1174.93472584856
"2020-12-09","32035","O Irixo",1466,0,NA,NA,0,NA,NA
"2020-12-09","15021","Carral",6408,NA,1,9,NA,15.605493133583,140.449438202247
"2020-12-09","15082","Teo",18579,NA,1,9,NA,5.38242101297163,48.4417891167447
"2020-12-09","32084","Verea",943,0,NA,NA,0,NA,NA
"2020-12-09","27019","Foz",9980,NA,1,9,NA,10.0200400801603,90.1803607214429
"2020-12-09","32069","Ribadavia",5024,NA,1,9,NA,19.9044585987261,179.140127388535
"2020-12-09","15049","Moeche",1226,NA,1,9,NA,81.5660685154976,734.094616639478
"2020-12-09","32061","Piñor",1176,0,NA,NA,0,NA,NA
"2020-12-09","32021","Castrelo do Val",984,0,NA,NA,0,NA,NA
"2020-12-09","27007","Begonte",3026,0,NA,NA,0,NA,NA
"2020-12-09","36008","Cangas",26542,61,NA,NA,229.824429206541,NA,NA
"2020-12-09","15091","Vilarmaior",1226,NA,1,9,NA,81.5660685154976,734.094616639478
"2020-12-09","36034","As Neves",3841,NA,1,9,NA,26.0348867482426,234.313980734184
"2020-12-09","27020","Friol",3744,NA,1,9,NA,26.7094017094017,240.384615384615
"2020-12-09","32072","A Rúa",4314,18,NA,NA,417.246175243394,NA,NA
"2020-12-09","32082","Trasmiras",1286,NA,1,9,NA,77.7604976671851,699.844479004666
"2020-12-09","15081","As Somozas",1098,NA,1,9,NA,91.0746812386157,819.672131147541
"2020-12-09","15083","Toques",1124,0,NA,NA,0,NA,NA
"2020-12-09","36055","Tui",16701,53,NA,NA,317.346266690617,NA,NA
"2020-12-09","27034","Navia de Suarna",1081,NA,1,9,NA,92.5069380203515,832.562442183164
"2020-12-09","15068","Ponteceso",5502,18,NA,NA,327.153762268266,NA,NA
"2020-12-09","32013","Boborás",2285,NA,1,9,NA,43.7636761487965,393.873085339168
"2020-12-09","27041","Pantón",2542,NA,1,9,NA,39.33910306845,354.05192761605
