"fecha","codigo_municipio","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max","casos_7d","casos_7d_min","casos_7d_max","IA7","IA7_min","IA7_max"
"2022-01-26","15002","Ames",31793,1196,NA,NA,3761.83436605542,NA,NA,597,NA,NA,1877.7718365678,NA,NA
"2022-01-26","27006","Becerreá",2818,55,NA,NA,1951.73882185947,NA,NA,32,NA,NA,1135.55713271824,NA,NA
"2022-01-26","15038","Frades",2339,50,NA,NA,2137.66566908935,NA,NA,13,NA,NA,555.793073963232,NA,NA
"2022-01-26","27052","Ribas de Sil",947,27,NA,NA,2851.10876451954,NA,NA,16,NA,NA,1689.54593453009,NA,NA
"2022-01-26","36030","Mondariz",4440,131,NA,NA,2950.45045045045,NA,NA,58,NA,NA,1306.30630630631,NA,NA
"2022-01-26","36044","Pontecesures",3052,112,NA,NA,3669.7247706422,NA,NA,58,NA,NA,1900.39318479685,NA,NA
"2022-01-26","36015","Cuntis",4677,98,NA,NA,2095.36027367971,NA,NA,48,NA,NA,1026.29890955741,NA,NA
"2022-01-26","27051","Ribadeo",9854,380,NA,NA,3856.30200933631,NA,NA,158,NA,NA,1603.40978282931,NA,NA
"2022-01-26","32091","Vilardevós",1846,34,NA,NA,1841.82015167931,NA,NA,NA,1,9,NA,54.1711809317443,487.540628385699
"2022-01-26","36009","A Cañiza",5180,125,NA,NA,2413.12741312741,NA,NA,46,NA,NA,888.030888030888,NA,NA
"2022-01-26","15042","Lousame",3338,116,NA,NA,3475.13481126423,NA,NA,44,NA,NA,1318.15458358298,NA,NA
"2022-01-26","32026","Coles",3050,90,NA,NA,2950.81967213115,NA,NA,45,NA,NA,1475.40983606557,NA,NA
"2022-01-26","36902","Cerdedo-Cotobade",5699,111,NA,NA,1947.71012458326,NA,NA,35,NA,NA,614.142832075803,NA,NA
"2022-01-26","36027","Meaño",5272,155,NA,NA,2940.06069802731,NA,NA,55,NA,NA,1043.24734446131,NA,NA
"2022-01-26","32012","Os Blancos",766,17,NA,NA,2219.32114882507,NA,NA,10,NA,NA,1305.48302872063,NA,NA
"2022-01-26","32035","O Irixo",1466,16,NA,NA,1091.40518417462,NA,NA,11,NA,NA,750.341064120055,NA,NA
"2022-01-26","15021","Carral",6408,234,NA,NA,3651.68539325843,NA,NA,104,NA,NA,1622.97128589263,NA,NA
