"Fecha","area_sanitaria","Concello","positivos","aulas_cerradas","centro_cerrado","Nome","Código","Enderezo","Provincia","Cód..postal","Teléfono","Tipo.de.centro","COORDENADA_X","COORDENADA_Y","TITULARIDADE","ENSINO_CONCERTADO","DEPENDENTE"
"2020-09-23","Vigo","VIGO",1,"0","no","CEIP Plurilingüe A Doblada",36016061,"Rúa Gaivota 18","Pontevedra",36205,"886120154","CEIP",42.22528,-8.707635,"Pública","Non","Si"
"2020-09-22","Santiago","SANTA COMBA",1,"0","no","CEIP Plurilingüe Barrié de la Maza",15015238,"Rúa Rosalia de Castro s/n","A Coruña",15840,"881866918","CEIP",43.03364,-8.816877,"Pública","Non","Si"
"2020-09-22","Ourense","O CARBALLIÑO",2,"3","no","CEIP Plurilingüe Calvo Sotelo",32002951,"Avenida de Compostela, s/n (Uceira)","Ourense",32500,"988271419","CEIP",42.438988,-8.0610895,"Pública","Non","Si"
"2020-09-23","Ourense","O CARBALLIÑO",1,"0","no","CEIP Plurilingüe Calvo Sotelo",32002951,"Avenida de Compostela, s/n (Uceira)","Ourense",32500,"988271419","CEIP",42.438988,-8.0610895,"Pública","Non","Si"
"2020-09-22","Lugo","BALEIRA",1,"0","no","CEIP Plurilingüe Concepción López Rey",27000319,"Rúa Doutor Nogueira, s/n (O Cadavo)","Lugo",27130,"982870067","CEIP",43.013546,-7.2467546,"Pública","Non","Si"
"2020-09-23","Lugo","BALEIRA",1,"0","no","CEIP Plurilingüe Concepción López Rey",27000319,"Rúa Doutor Nogueira, s/n (O Cadavo)","Lugo",27130,"982870067","CEIP",43.013546,-7.2467546,"Pública","Non","Si"
"2020-09-19","Pontevedra","SANXENXO",1,"0","no","CEIP Plurilingüe Cruceiro",36008878,"Rúa Cruceiro s/n","Pontevedra",36990,"886151687","CEIP",42.443916,-8.835733,"Pública","Non","Si"
"2020-09-22","Pontevedra","SANXENXO",1,"0","no","CEIP Plurilingüe Cruceiro",36008878,"Rúa Cruceiro s/n","Pontevedra",36990,"886151687","CEIP",42.443916,-8.835733,"Pública","Non","Si"
"2020-09-23","Pontevedra","SANXENXO",1,"1","no","CEIP Plurilingüe Cruceiro",36008878,"Rúa Cruceiro s/n","Pontevedra",36990,"886151687","CEIP",42.443916,-8.835733,"Pública","Non","Si"
"2020-09-22","Vigo","BAIONA",1,"0","no","CEIP Plurilingüe de Belesar",36018963,"Rúa A ESTIVADA 46","Pontevedra",36307,"886110148","CEIP",42.08225,-8.817282,"Pública","Non","Si"
"2020-09-23","Vigo","BAIONA",1,"1","no","CEIP Plurilingüe de Belesar",36018963,"Rúa A ESTIVADA 46","Pontevedra",36307,"886110148","CEIP",42.08225,-8.817282,"Pública","Non","Si"
"2020-09-19","Coruña","CARBALLO",1,"1","no","CEIP Plurilingüe de Nétoma-Razo",15024896,"Rúa Pacífico 20","A Coruña",15107,"881880431","CEIP",43.28482,-8.712898,"Pública","Non","Si"
"2020-09-22","Coruña","CARBALLO",1,"1","no","CEIP Plurilingüe de Nétoma-Razo",15024896,"Rúa Pacífico 20","A Coruña",15107,"881880431","CEIP",43.28482,-8.712898,"Pública","Non","Si"
"2020-09-23","Coruña","CARBALLO",1,"1","no","CEIP Plurilingüe de Nétoma-Razo",15024896,"Rúa Pacífico 20","A Coruña",15107,"881880431","CEIP",43.28482,-8.712898,"Pública","Non","Si"
"2020-09-19","Coruña","BRIÓN",2,"0","no","CEIP Plurilingüe de Pedrouzos",15001847,"Paseo Pedrouzos s/n","A Coruña",15865,"881866078","CEIP",42.862,-8.677074,"Pública","Non","Si"
