"Fecha","area_sanitaria","Concello","positivos","aulas_cerradas","centro_cerrado","Nome","Código","Enderezo","Provincia","Cód..postal","Teléfono","Tipo.de.centro","COORDENADA_X","COORDENADA_Y","TITULARIDADE","ENSINO_CONCERTADO","DEPENDENTE"
"2020-09-22","Santiago","LALÍN",1,"0","no","IES Laxeiro",36013758,"Avenida Buenos Aires 71","Pontevedra",36500,"886151940","IES",42.65719,-8.112083,"Pública","Non","Si"
"2020-09-23","Santiago","LALÍN",1,"0","no","IES Laxeiro",36013758,"Avenida Buenos Aires 71","Pontevedra",36500,"886151940","IES",42.65719,-8.112083,"Pública","Non","Si"
"2020-09-22","Ferrol","FERROL",1,"0","no","IES Leixa",15021469,"Rúa SAN PEDRO DE LEIXA s/n","A Coruña",15405,"881938125","IES",43.51143,-8.215303,"Pública","Non","Si"
"2020-09-23","Ferrol","FERROL",1,"0","no","IES Leixa",15021469,"Rúa SAN PEDRO DE LEIXA s/n","A Coruña",15405,"881938125","IES",43.51143,-8.215303,"Pública","Non","Si"
"2020-09-22","Santiago","PADRÓN",1,"0","no","IES Macías o Namorado",15023090,"Rúa Agro do Medio s/n","A Coruña",15900,"881866760","IES",42.735424,-8.662155,"Pública","Non","Si"
"2020-09-23","Santiago","PADRÓN",1,"0","no","IES Macías o Namorado",15023090,"Rúa Agro do Medio s/n","A Coruña",15900,"881866760","IES",42.735424,-8.662155,"Pública","Non","Si"
"2020-09-22","Santiago","A ESTRADA",1,"0","no","IES Manuel García Barros",36002335,"Rúa da Cultura s/n","Pontevedra",36681,"986590104","IES",42.692513,-8.503903,"Pública","Non","Si"
"2020-09-23","Lugo","LUGO",1,"0","no","IES Nosa Sra. dos Ollos Grandes",27006541,"Avenida Ramón Ferreiro s/n","Lugo",27002,"982870003","IES",43.006317,-7.5562654,"Pública","Non","Si"
"2020-09-22","Ourense","OURENSE",1,"0","no","IES O Couto",32015207,"Rúa Rampa de Sas s/n","Ourense",32002,"988391249","IES",42.336018,-7.8734956,"Pública","Non","Si"
"2020-09-23","Ourense","OURENSE",1,"0","no","IES O Couto",32015207,"Rúa Rampa de Sas s/n","Ourense",32002,"988391249","IES",42.336018,-7.8734956,"Pública","Non","Si"
"2020-09-22","Santiago","SILLEDA",1,"0","no","IES Plurilingüe Pintor Colmeiro",36020350,"Estrada de Pontevedra - As Ferreiras s/n","Pontevedra",36540,"986580904","IES",42.688843,-8.249326,"Pública","Non","Si"
"2020-09-23","Santiago","SILLEDA",1,"0","no","IES Plurilingüe Pintor Colmeiro",36020350,"Estrada de Pontevedra - As Ferreiras s/n","Pontevedra",36540,"986580904","IES",42.688843,-8.249326,"Pública","Non","Si"
"2020-09-22","Lugo","GUITIRIZ",1,"0","no","IES Poeta Díaz Castro",27016200,"Rúa Xermade, s/n (Guitiriz)","Lugo",27300,"982870342","IES",43.186497,-7.8989043,"Pública","Non","Si"
"2020-09-23","Lugo","GUITIRIZ",1,"0","no","IES Poeta Díaz Castro",27016200,"Rúa Xermade, s/n (Guitiriz)","Lugo",27300,"982870342","IES",43.186497,-7.8989043,"Pública","Non","Si"
"2020-09-22","Santiago","LALÍN",1,"0","no","IES Ramón Mª Aller Ulloa",36004137,"Rúa Banda de Música de Lalín 6","Pontevedra",36500,"986780114","IES",42.663982,-8.106101,"Pública","Non","Si"
"2020-09-23","Santiago","LALÍN",1,"0","no","IES Ramón Mª Aller Ulloa",36004137,"Rúa Banda de Música de Lalín 6","Pontevedra",36500,"986780114","IES",42.663982,-8.106101,"Pública","Non","Si"
"2020-09-23","Lugo","LUGO",1,"0","no","IES Sanxillao",27016455,"Avenida DAS FONTIÑAS 171","Lugo",27002,"982828088","IES",43.004913,-7.546599,"Pública","Non","Si"
"2020-09-22","Lugo","SARRIA",1,"0","no","IES Xograr Afonso Gómez de Sarria",27012048,"Rúa Ánxel Fole, s/n (Zona escolar)","Lugo",27600,"982870801","IES",42.773483,-7.407625,"Pública","Non","Si"
"2020-09-23","Lugo","SARRIA",1,"0","no","IES Xograr Afonso Gómez de Sarria",27012048,"Rúa Ánxel Fole, s/n (Zona escolar)","Lugo",27600,"982870801","IES",42.773483,-7.407625,"Pública","Non","Si"
