Fecha,Pontevedra.domicilio,Pontevedra.hospitalizados,Pontevedra.uci,Pontevedra.PCR.acum,Pontevedra.serologicas.acum,Pontevedra.antigeno.acum,Pontevedra.no_pdia.acum
2020-09-12,426,13,2,32154,,,
2020-09-13,456,14,2,32620,,,
2020-09-14,487,16,2,33070,,,
2020-09-15,536,16,3,33371,,,
2020-09-16,562,15,3,33801,,,
2020-09-17,566,19,3,34153,,,
2020-09-18,589,22,5,34637,,,
2020-09-19,627,24,5,35183,,,
2020-09-20,634,24,5,35765,,,
2020-09-21,646,21,5,36178,,,
2020-09-22,682,20,5,36816,,,
2020-09-23,716,20,5,37422,,,
2020-09-24,740,20,5,38055,,,
2020-09-25,764,20,5,38805,,,
2020-09-26,791,19,6,39561,,,
2020-09-27,807,19,5,40168,,,
2020-09-28,789,22,5,40916,,,
2020-09-29,771,22,5,41672,,,
2020-09-30,765,21,5,42499,,,
2020-10-01,775,20,5,43193,,,
2020-10-02,745,20,6,43959,,,
2020-10-03,702,21,7,45035,,,
2020-10-04,668,21,7,45480,,,
2020-10-05,663,22,7,46705,,,
2020-10-06,645,22,7,47166,,,
2020-10-07,609,21,6,47894,,,
2020-10-08,593,20,7,48671,33756,,
2020-10-09,555,18,7,49203,33820,,
2020-10-10,524,17,6,49886,34038,,
2020-10-11,493,14,5,50681,34056,,
2020-10-12,494,17,5,51353,34076,,
2020-10-13,453,16,4,51659,34094,,
2020-10-14,452,17,3,52033,34438,,
2020-10-15,402,17,3,52377,34938,,
2020-10-16,385,16,2,52918,35415,,
2020-10-17,396,20,3,53559,36080,,
2020-10-18,436,21,4,54079,36238,,
2020-10-19,453,22,4,54616,36264,,
2020-10-20,457,24,4,55071,37074,,
2020-10-21,508,30,5,55544,37798,,
2020-10-22,525,39,6,56326,38871,,
2020-10-23,558,37,7,57120,39555,,
2020-10-24,572,50,7,58213,40075,,
2020-10-25,591,48,7,59490,40120,,
2020-10-26,636,47,7,60369,40298,,
2020-10-27,676,51,9,61069,40395,,
2020-10-28,731,54,9,61933,40531,,
2020-10-29,780,58,8,62714,40659,,
2020-10-30,841,58,7,63829,40750,,
2020-10-31,858,60,7,64679,40941,,
2020-11-01,930,64,6,65798,40977,,
2020-11-02,982,67,6,66453,41037,,
2020-11-03,1012,70,4,67155,41079,,
2020-11-04,1020,77,5,68011,41177,,
2020-11-05,1059,78,4,68949,41253,,
2020-11-06,1116,78,4,69955,41320,,
2020-11-07,1158,71,4,71035,41399,,
2020-11-08,1157,75,5,72259,41451,,
2020-11-09,1176,78,5,72978,41509,,
2020-11-10,1167,80,5,73396,41616,,
2020-11-11,1177,86,5,74198,41734,,
2020-11-12,1164,86,5,75170,41820,,
2020-11-13,1187,83,5,76086,41937,,
2020-11-14,1203,74,6,77203,41991,,
2020-11-15,1199,68,7,78366,42027,,
2020-11-16,1163,70,9,78754,42065,,
2020-11-17,1141,72,8,79358,42149,,
2020-11-18,1186,68,8,80252,42240,,
2020-11-19,1188,62,8,81249,42310,,
2020-11-20,1167,68,6,82404,42395,,
2020-11-21,1183,59,6,83433,42469,,
2020-11-22,1178,57,5,84295,42503,,
2020-11-23,1172,62,4,84981,42549,,
2020-11-24,1170,65,6,85672,42649,,
2020-11-25,1154,64,6,86332,42776,,
2020-11-26,1154,60,7,87223,42873,,
2020-11-27,1138,62,7,87947,42943,,
2020-11-28,1111,56,6,88639,43101,,
2020-11-29,1079,57,6,89544,43154,,
2020-11-30,1094,62,8,90157,43209,,
2020-12-01,1075,62,6,90715,43269,,
2020-12-02,1064,58,8,91451,43403,,
2020-12-03,1054,52,10,92575,43492,,
2020-12-04,1015,50,9,93369,43577,,
2020-12-05,974,51,9,94462,43668,,
2020-12-06,939,51,9,95314,43719,,
2020-12-07,918,53,9,95971,43754,,
2020-12-08,850,49,9,96546,43847,,
2020-12-09,821,50,9,97341,43922,,
2020-12-10,805,51,9,97911,44010,,
2020-12-11,787,52,10,98762,44099,,
2020-12-12,803,48,9,99820,44231,,
2020-12-13,805,46,8,100802,44296,,
2020-12-14,798,50,8,101325,44389,,
2020-12-15,815,52,8,102136,44510,,
2020-12-16,817,52,8,102889,44661,,
2020-12-17,812,53,9,103782,44782,,
2020-12-18,842,55,9,104598,44951,,
2020-12-19,880,45,8,105534,45080,,
2020-12-20,888,48,8,106253,45157,,
2020-12-21,868,49,7,106722,45218,,
2020-12-22,872,50,8,107331,45357,,
2020-12-23,863,48,6,108212,45477,,
2020-12-24,856,48,8,109184,45607,,
2020-12-25,874,48,9,110201,45722,,
2020-12-26,853,54,9,110689,45786,,
2020-12-27,840,56,11,111195,45839,,
2020-12-28,805,61,11,111937,45905,,
2020-12-29,798,54,10,112437,46011,,
2020-12-30,769,52,11,113362,46138,,
2020-12-31,764,52,10,114435,46229,,
2021-01-01,738,51,12,115421,46347,,
2021-01-02,729,44,12,115751,46420,,
2021-01-03,666,44,9,116039,46508,,
2021-01-04,684,47,8,116387,46572,,
2021-01-05,703,48,11,116987,46682,,
2021-01-06,688,55,11,117753,46801,,
2021-01-07,679,56,10,118495,46878,,
2021-01-08,666,51,12,118973,46976,,
2021-01-09,672,52,12,119477,47095,,
2021-01-10,686,50,12,120151,47192,,
2021-01-11,703,55,11,120500,47268,,
2021-01-12,754,55,10,120914,47435,,
2021-01-13,775,57,10,121546,47570,,
2021-01-14,807,60,9,122322,47705,,
2021-01-15,842,65,11,123032,47914,,
2021-01-16,888,66,12,123664,48086,,
2021-01-17,915,68,12,124323,48180,,
2021-01-18,1011,77,13,125179,48294,,
2021-01-19,1067,78,11,126045,48446,,
2021-01-20,1119,76,14,127167,48715,,
2021-01-21,1286,88,14,128359,49049,,
2021-01-22,1388,97,14,129727,49434,,
2021-01-23,1482,97,13,131128,49887,,
2021-01-24,1533,117,15,132183,50225,,
2021-01-25,1696,122,15,133480,50481,,
2021-01-26,1812,128,15,134737,50988,,
2021-01-27,1888,134,16,135936,51388,,
2021-01-28,2021,133,17,137290,51916,,
2021-01-29,2102,144,25,138517,52471,,
2021-01-30,2224,141,29,140170,53271,,
2021-01-31,2301,154,30,141439,54250,,
2021-02-01,2307,162,31,142327,54491,,
2021-02-02,2343,160,30,143207,54919,,
2021-02-03,2432,146,29,144328,55479,,
2021-02-04,2473,140,27,145580,56919,,
2021-02-05,2437,139,27,147019,58910,,
2021-02-06,2432,130,24,148155,61171,,
2021-02-07,2398,128,23,149151,62678,,
2021-02-08,2351,132,21,149934,63016,,
2021-02-09,2175,130,20,150776,63655,,
2021-02-10,2090,129,20,151657,64604,,
2021-02-11,2007,134,20,152926,66149,,
2021-02-12,1907,120,20,153871,67480,,
2021-02-13,1818,104,20,154711,69173,,
2021-02-14,1686,101,21,155641,71114,,
2021-02-15,1620,105,22,156299,71486,,
2021-02-16,1531,103,17,156949,72245,,
2021-02-17,1443,96,15,157661,73386,,
2021-02-18,1355,92,15,158607,74623,,
2021-02-19,1304,94,16,159043,75583,,
2021-02-20,1181,89,20,159559,76319,,
2021-02-21,1062,88,21,160196,77540,,
2021-02-22,997,81,17,160872,77874,,
2021-02-23,957,79,17,161219,78608,,
2021-02-24,911,72,17,161816,79762,,
2021-02-25,865,65,16,162323,80659,,
2021-02-26,821,63,14,162990,81097,,
2021-02-27,785,57,13,163504,81475,,
2021-02-28,724,59,14,164385,81778,,
2021-03-01,693,60,12,165003,82039,,
2021-03-02,667,55,11,165376,83034,,
2021-03-03,633,50,11,166073,84237,,
2021-03-04,589,43,11,166652,84898,,
2021-03-05,561,38,9,167601,85330,,
2021-03-06,506,35,8,168542,85692,,
2021-03-07,463,29,7,169438,85965,,
2021-03-08,427,30,8,169795,86222,,
2021-03-09,413,29,9,170117,86696,,
2021-03-10,387,32,9,171064,87141,,
2021-03-11,352,33,8,171877,87565,,
2021-03-12,314,29,7,173112,87983,,
2021-03-13,280,26,8,173816,88326,,
2021-03-14,253,25,8,174548,88625,,
