Fecha,A_Coruña.casos.acum,A_Coruña.altas.acum,A_Coruña.fallecidos.acum,A_Coruña.confirmados_pcr_24h
2020-10-18,7458,6405,214,66
2020-10-19,7522,6456,214,54
2020-10-20,7585,6494,215,62
2020-10-21,7642,6521,216,56
2020-10-22,7710,6582,217,65
2020-10-23,7803,6622,217,92
2020-10-24,7940,6665,218,135
2020-10-25,8058,6718,218,110
2020-10-26,8155,6769,219,96
2020-10-27,8242,6821,221,86
2020-10-28,8345,6840,221,100
2020-10-29,8469,6891,221,123
2020-10-30,8588,6936,221,117
2020-10-31,8719,7026,222,130
2020-11-01,8852,7091,222,131
2020-11-02,8962,7165,224,104
2020-11-03,9048,7218,229,84
2020-11-04,9169,7272,231,120
2020-11-05,9291,7321,235,117
2020-11-06,9457,7392,236,153
2020-11-07,9598,7478,236,135
2020-11-08,9730,7626,238,136
2020-11-09,9839,7716,238,108
2020-11-10,9909,7771,242,66
2020-11-11,10020,7857,245,114
2020-11-12,10147,8048,247,122
2020-11-13,10267,8182,248,111
2020-11-14,10380,8284,252,103
2020-11-15,10485,8415,253,104
2020-11-16,10590,8500,253,104
2020-11-17,10659,8574,253,63
2020-11-18,10788,8660,255,122
2020-11-19,10913,8770,258,122
2020-11-20,11018,8893,259,102
2020-11-21,11136,9024,261,110
2020-11-22,11264,9164,261,125
2020-11-23,11333,9273,265,68
2020-11-24,11391,9365,270,53
2020-11-25,11498,9462,273,100
2020-11-26,11591,9577,274,86
2020-11-27,11692,9696,275,91
2020-11-28,11772,9800,278,73
2020-11-29,11843,9893,278,63
2020-11-30,11906,9970,280,62
2020-12-01,11948,10064,282,36
2020-12-02,12016,10160,285,52
2020-12-03,12079,10271,287,61
2020-12-04,12137,10380,289,53
2020-12-05,12214,10497,291,68
2020-12-06,12254,10591,291,40
2020-12-07,12307,10671,291,52
2020-12-08,12344,10811,293,26
2020-12-09,12391,10909,293,45
2020-12-10,12434,10999,293,35
2020-12-11,12477,11095,293,34
2020-12-12,12528,11219,296,43
2020-12-13,12570,11285,296,41
2020-12-14,12635,11386,298,61
2020-12-15,12656,11431,300,17
2020-12-16,12701,11497,301,40
2020-12-17,12762,11564,303,53
2020-12-18,12806,11644,305,46
2020-12-19,12883,11712,305,69
2020-12-20,12950,11762,305,64
2020-12-21,13003,11820,305,46
2020-12-22,13026,11859,305,10
2020-12-23,13090,11909,305,68
2020-12-24,13150,11971,305,41
2020-12-25,13217,12017,305,64
2020-12-26,13276,12072,307,61
2020-12-27,13312,12136,307,32
2020-12-28,13360,12197,307,50
2020-12-29,13414,12223,311,42
2020-12-30,13535,12272,311,118
2020-12-31,13669,12333,311,115
2021-01-01,13776,12377,312,97
2021-01-02,13894,12434,314,116
2021-01-03,13940,12496,314,43
2021-01-04,14058,12554,315,103
2021-01-05,14144,12604,321,71
2021-01-06,14331,12637,322,166
2021-01-07,14489,12700,324,157
2021-01-08,14640,12764,324,124
2021-01-09,14839,12822,326,171
2021-01-10,15023,12871,327,177
2021-01-11,15181,12916,327,151
2021-01-12,15360,12973,329,144
2021-01-13,15616,13031,331,229
2021-01-14,15914,13119,333,256
2021-01-15,16209,13248,333,251
2021-01-16,16539,13366,337,261
2021-01-17,16899,13440,337,337
2021-01-18,17181,13502,340,242
2021-01-19,17458,13584,347,205
2021-01-20,17893,13711,349,348
2021-01-21,18335,13867,350,281
2021-01-22,18781,14019,353,346
2021-01-23,19330,14151,358,433
2021-01-24,19779,14368,359,390
2021-01-25,20079,14492,367,251
2021-01-26,20426,14668,376,252
2021-01-27,20872,14821,379,366
2021-01-28,21281,15043,391,277
2021-01-29,21646,15343,400,250
2021-01-30,21966,15580,412,251
2021-01-31,22305,15876,419,293
2021-02-01,22519,16175,420,182
2021-02-02,22751,16443,435,172
2021-02-03,23044,16721,444,203
2021-02-04,23341,17052,455,278
2021-02-05,23600,17438,459,207
2021-02-06,23861,17860,469,218
2021-02-07,24146,18360,477,264
2021-02-08,24323,18691,482,166
2021-02-09,24523,18945,486,172
2021-02-10,24744,19411,492,203
2021-02-11,25004,19843,498,245
2021-02-12,25243,20161,502,232
2021-02-13,25398,20500,503,134
2021-02-14,25492,20853,503,76
2021-02-15,25623,21161,508,123
2021-02-16,25729,21383,513,85
2021-02-17,25819,21638,516,83
2021-02-18,25929,21954,518,100
2021-02-19,26016,22248,518,84
2021-02-20,26166,22627,518,71
2021-02-21,26253,22875,520,79
2021-02-22,26318,23162,520,63
2021-02-23,26390,23353,525,61
2021-02-24,26469,23600,530,58
2021-02-25,26557,23853,531,76
2021-02-26,26645,24104,534,70
2021-02-27,26755,24340,537,98
2021-02-28,26845,24508,538,86
2021-03-01,26862,24620,542,17
2021-03-02,26892,24745,547,12
2021-03-03,26962,24883,548,62
2021-03-04,27038,25010,548,63
2021-03-05,27120,25194,550,71
2021-03-06,27203,25323,550,62
2021-03-07,27253,25444,551,40
2021-03-08,27289,25500,555,36
2021-03-09,27360,25607,555,45
2021-03-10,27442,25704,555,68
2021-03-11,27498,25822,556,40
2021-03-12,27575,25925,557,57
2021-03-13,27645,26017,557,57
2021-03-14,27687,26093,557,33
2021-03-15,27740,26142,558,45
2021-03-16,27800,26178,559,55
2021-03-17,27845,26235,559,35
2021-03-18,27898,26321,562,46
2021-03-19,27957,26389,564,59
2021-03-20,28012,26453,565,51
2021-03-21,28046,26496,565,27
2021-03-22,28075,26564,565,25
2021-03-23,28105,26597,566,29
2021-03-24,28144,26657,566,37
2021-03-25,28197,26717,566,60
2021-03-26,28232,26778,567,32
2021-03-27,28283,26838,567,45
2021-03-28,28309,26888,567,28
2021-03-29,28345,26944,567,35
2021-03-30,28380,27010,567,25
2021-03-31,28407,27061,568,26
2021-04-01,28448,27110,568,35
2021-04-02,28489,27182,568,37
2021-04-03,28512,27238,568,18
2021-04-04,28537,27276,568,23
2021-04-05,28562,27309,571,21
2021-04-06,28588,27343,573,21
2021-04-07,28623,27412,575,28
2021-04-08,28655,27477,575,30
2021-04-09,28685,27522,578,28
2021-04-10,28729,27558,578,40
2021-04-11,28770,27589,578,41
2021-04-12,28805,27624,578,32
2021-04-13,28830,27650,578,18
2021-04-14,28861,27697,578,28
2021-04-15,28908,27740,579,39
2021-04-16,28953,27779,579,45
2021-04-17,29001,27807,579,45
2021-04-18,29051,27812,579,49
2021-04-19,29081,27836,581,31
2021-04-20,29111,27853,582,24
2021-04-21,29144,27894,582,30
2021-04-22,29195,27926,583,47
2021-04-23,29267,27969,583,65
2021-04-24,29300,28000,584,38
2021-04-25,29340,28030,585,29
2021-04-26,29381,28076,585,45
2021-04-27,29413,28100,585,25
2021-04-28,29459,28137,585,42
