Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","1"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","1"
"10-14","MULLER","0"
"15-19","HOME","207"
"15-19","MULLER","339"
"20-24","HOME","1.524"
"20-24","MULLER","4.470"
"25-29","HOME","3.085"
"25-29","MULLER","9.285"
"30-34","HOME","3.935"
"30-34","MULLER","11.300"
"35-39","HOME","5.335"
"35-39","MULLER","13.555"
"40-44","HOME","8.108"
"40-44","MULLER","18.008"
"45-49","HOME","9.445"
"45-49","MULLER","19.468"
"50-54","HOME","14.156"
"50-54","MULLER","23.813"
"55-59","HOME","8.567"
"55-59","MULLER","17.422"
"60-64","HOME","39.674"
"60-64","MULLER","46.963"
"65-69","HOME","7.444"
"65-69","MULLER","7.269"
"70-74","HOME","43.428"
"70-74","MULLER","50.819"
"75-79","HOME","55.604"
"75-79","MULLER","69.630"
"80-84","HOME","37.447"
"80-84","MULLER","54.817"
"85->","HOME","41.671"
"85->","MULLER","79.773"
