Fecha,activos.residentes,activos.prefesionales,fallecidos.residencias.acum,fallecidos.hospitales_residencias_integradas.acum,fallecidos.residencia.coruña.coruña.Sta_Teresa_Jornet.acum,fallecidos.residencia.coruña.coruña.Concepcion_Arenal.acum,fallecidos.residencia.coruña.coruña.Bellolar,fallecidos.residencia.coruña.coruña.Remanso_Claudia_Somoza,fallecidos.residencia.santiago.coruña.DomusVi_San_Lazaro,fallecidos.residencia.santiago.coruña.Fundacion_Jose_Otero.acum,fallecidos.residencia.matogrande.coruña.DomusVi_Matogrande.acum,fallecidos.residencia.culleredo.coruña.Caser_A_Zapateira.acum,fallecidos.residencia.culleredo.coruña.Orpea.acum,fallecidos.residencia.culleredo.coruña.Pinar.acum,fallecidos.residencia.portazgo.coruña.Portazgo.acum,fallecidos.residencia.pontedeume.coruña.As_Fragas,fallecidos.residencia.oleiros.coruña.Ballesol,fallecidos.residencia.bande.ourense.Bande,fallecidos.residencia.ourense.ourense.Nuestra_Señora_de_la_Esperanza,fallecidos.residencia.celanova.ourense.San_Carlos,fallecidos.residencia.castro_caldelas.ourense.Castro_Caldelas,fallecidos.residencia.barco.ourense.NS_Fatima,fallecidos.residencia.orurense.ourense.San_Jose_Hermanitas,fallecidos.residencia.ourense.ourense.Divino_Maestro,fallecidos.residencia.ourense.ourense.Las_Salinas,fallecidos.residencia.lobeira.ourense.Nuestra_Señora_do_Viso,fallecidos.residencia.cangas.pontevedra.DomusVi,fallecidos.residencia.vigo.pontevedra.DomusVi_Barreiro,fallecidos.residencia.vigo.pontevedra.Moledo,fallecidos.residencia.vigo.pontevedra.CRAPD_I.acum,fallecidos.residencia.crecente.pontevedra.San_Pedro,fallecidos.residencia.foz.lugo.Foz,fallecidos.residencia.incio.lugo.incio.acum,fallecidos.residencia.outeiroderei.lugo.DomusVi
2020-09-28,344,140,145,177,7,3,1,8,22,1,8,1,5,0,9,3,0,0,21,1,1,1,1,3,1,0,20,12,5,0,3,1,3,4
2020-09-29,341,136,145,178,7,3,1,8,22,1,8,1,5,0,9,3,0,0,21,1,1,1,1,3,1,0,20,12,5,0,3,1,3,4
2020-09-30,320,142,145,178,7,3,1,8,22,1,8,1,5,0,9,3,0,0,21,1,1,1,1,3,1,0,20,12,5,0,3,1,3,4
2020-10-01,314,139,146,179,7,3,1,8,22,1,8,1,5,0,9,3,0,0,21,1,1,1,1,3,1,0,20,12,5,0,3,1,3,5
2020-10-02,313,133,148,179,7,3,1,8,22,1,8,1,5,1,9,3,0,0,21,1,1,1,1,3,1,1,20,12,5,0,3,1,3,5
2020-10-03,307,130,148,179,7,3,1,8,22,1,8,1,5,1,9,3,0,0,21,1,1,1,1,3,1,1,20,12,5,0,3,1,3,5
2020-10-04,307,130,148,179,7,3,1,8,22,1,8,1,5,1,9,3,0,0,21,1,1,1,1,3,1,1,20,12,5,0,3,1,3,5
2020-10-05,308,133,148,181,7,3,1,8,22,1,8,1,5,1,9,3,0,0,21,1,1,1,1,3,1,1,20,12,5,0,3,1,3,5
2020-10-06,270,121,148,183,7,3,1,8,22,1,8,1,5,1,9,3,0,0,21,1,1,1,1,3,1,1,20,12,5,0,3,1,3,5
2020-10-07,266,122,148,184,7,3,1,8,22,1,8,1,5,1,9,3,0,0,21,1,1,1,1,3,1,1,20,12,5,0,3,1,3,5
2020-10-08,414,114,149,184,7,3,1,8,22,1,8,1,5,1,9,3,1,0,21,1,1,1,1,3,1,1,20,12,5,0,3,1,3,5
2020-10-09,418,133,149,184,7,3,1,8,22,1,8,1,5,1,9,3,1,0,21,1,1,1,1,3,1,1,20,12,5,0,3,1,3,5
2020-10-10,454,148,150,185,7,3,1,8,22,1,8,1,5,1,9,3,2,0,21,1,1,1,1,3,1,1,20,12,5,0,3,1,3,5
2020-10-11,424,138,150,185,7,3,1,8,22,1,8,1,5,1,9,3,2,0,21,1,1,1,1,3,1,1,20,12,5,0,3,1,3,5
